country,income_group
Afghanistan,Low income
Burkina Faso,Low income
Burundi,Low income
Central African Republic,Low income
Chad,Low income
Democratic Republic of the Congo,Low income
Eritrea,Low income
Ethiopia,Low income
The Gambia,Low income
Guinea-Bissau,Low income
North Korea,Low income
Liberia,Low income
Madagascar,Low income
Malawi,Low income
Mali,Low income
Mozambique,Low income
Niger,Low income
Rwanda,Low income
Sierra Leone,Low income
Somalia,Low income
South Sudan,Low income
Sudan,Low income
Syria,Low income
Uganda,Low income
Yemen,Low income
Angola,Lower-middle income
Bangladesh,Lower-middle income
Benin,Lower-middle income
Bhutan,Lower-middle income
Bolivia,Lower-middle income
Cambodia,Lower-middle income
Cameroon,Lower-middle income
Comoros,Lower-middle income
Republic of the Congo,Lower-middle income
Côte d'Ivoire,Lower-middle income
Djibouti,Lower-middle income
Egypt,Lower-middle income
Eswatini,Lower-middle income
Ghana,Lower-middle income
Guinea,Lower-middle income
Haiti,Lower-middle income
Honduras,Lower-middle income
India,Lower-middle income
Kenya,Lower-middle income
Kiribati,Lower-middle income
Kyrgyzstan,Lower-middle income
Laos,Lower-middle income
Lebanon,Lower-middle income
Lesotho,Lower-middle income
Mauritania,Lower-middle income
Morocco,Lower-middle income
Myanmar,Lower-middle income
Namibia,Lower-middle income
Nepal,Lower-middle income
Nicaragua,Lower-middle income
Nigeria,Lower-middle income
Pakistan,Lower-middle income
Papua New Guinea,Lower-middle income
São Tomé and Príncipe,Lower-middle income
Senegal,Lower-middle income
Solomon Islands,Lower-middle income
Tajikistan,Lower-middle income
Tanzania,Lower-middle income
Timor-Leste,Lower-middle income
Togo,Lower-middle income
Tunisia,Lower-middle income
Uzbekistan,Lower-middle income
Vanuatu,Lower-middle income
Venezuela,Lower-middle income
West Bank and Gaza,Lower-middle income
Zambia,Lower-middle income
Zimbabwe,Lower-middle income
