financing_theme,uhc_outcome,signal_class,cooccurrence_events
External financing,Coverage/entitlement,Challenge only,7
External financing,Coverage/entitlement,Both,1
External financing,Access/utilization,Challenge only,5
External financing,Access/utilization,Both,1
External financing,Financial protection,Challenge only,5
External financing,Financial protection,Both,1
External financing,Equity,Potential only,1
External financing,Equity,Challenge only,6
External financing,Equity,Both,1
External financing,Efficiency/value,Challenge only,4
External financing,Efficiency/value,Both,1
External financing,Quality,Challenge only,1
External financing,Fiscal sustainability/resources,Potential only,1
External financing,Fiscal sustainability/resources,Challenge only,6
External financing,Fiscal sustainability/resources,Both,1
External financing,Pooling/fragmentation,Challenge only,2
External financing,Governance/implementation,Potential only,1
External financing,Governance/implementation,Challenge only,7
External financing,Governance/implementation,Both,2
Financial protection/OOP,Coverage/entitlement,Potential only,111
Financial protection/OOP,Coverage/entitlement,Challenge only,355
Financial protection/OOP,Coverage/entitlement,Both,229
Financial protection/OOP,Access/utilization,Potential only,134
Financial protection/OOP,Access/utilization,Challenge only,304
Financial protection/OOP,Access/utilization,Both,242
Financial protection/OOP,Financial protection,Potential only,183
Financial protection/OOP,Financial protection,Challenge only,693
Financial protection/OOP,Financial protection,Both,329
Financial protection/OOP,Equity,Potential only,44
Financial protection/OOP,Equity,Challenge only,235
Financial protection/OOP,Equity,Both,140
Financial protection/OOP,Efficiency/value,Potential only,22
Financial protection/OOP,Efficiency/value,Challenge only,42
Financial protection/OOP,Efficiency/value,Both,33
Financial protection/OOP,Quality,Potential only,16
Financial protection/OOP,Quality,Challenge only,30
Financial protection/OOP,Quality,Both,32
Financial protection/OOP,Fiscal sustainability/resources,Potential only,8
Financial protection/OOP,Fiscal sustainability/resources,Challenge only,40
Financial protection/OOP,Fiscal sustainability/resources,Both,25
Financial protection/OOP,Pooling/fragmentation,Potential only,10
Financial protection/OOP,Pooling/fragmentation,Challenge only,51
Financial protection/OOP,Pooling/fragmentation,Both,47
Financial protection/OOP,Governance/implementation,Potential only,36
Financial protection/OOP,Governance/implementation,Challenge only,80
Financial protection/OOP,Governance/implementation,Both,75
Insurance/prepayment,Coverage/entitlement,Potential only,270
Insurance/prepayment,Coverage/entitlement,Challenge only,581
Insurance/prepayment,Coverage/entitlement,Both,283
Insurance/prepayment,Access/utilization,Potential only,298
Insurance/prepayment,Access/utilization,Challenge only,414
Insurance/prepayment,Access/utilization,Both,289
Insurance/prepayment,Financial protection,Potential only,166
Insurance/prepayment,Financial protection,Challenge only,413
Insurance/prepayment,Financial protection,Both,248
Insurance/prepayment,Equity,Potential only,68
Insurance/prepayment,Equity,Challenge only,266
