term,document_frequency
health insurance,3977
coverage,2074
access,1756
out-of-pocket payments,1438
health financing,1055
universal health coverage,1048
utilization,1006
equity,873
implementation,868
enrolment,733
community-based health insurance,595
financial protection,559
catastrophic health expenditure,463
efficiency,419
social health insurance,364
quality of care,364
user fees,360
health outcomes,320
performance-based financing,288
informal sector,271
government spending,256
governance,236
impoverishment,232
primary health care,223
vulnerable populations,198
risk pooling,182
rural populations,181
cost sharing,154
accountability,126
benefit package,107
fragmentation,106
strategic purchasing,103
prepayment,101
provider payment,67
donor financing,58
fiscal space,35
tax financing,23
fiscal sustainability,22
