financing_theme,uhc_outcome,records
External financing,Coverage/entitlement,12
External financing,Access/utilization,10
External financing,Financial protection,12
External financing,Equity,11
External financing,Efficiency/value,11
External financing,Quality,1
External financing,Fiscal sustainability/resources,18
External financing,Pooling/fragmentation,2
External financing,Governance/implementation,13
Financial protection/OOP,Coverage/entitlement,944
Financial protection/OOP,Access/utilization,898
Financial protection/OOP,Financial protection,1761
Financial protection/OOP,Equity,508
Financial protection/OOP,Efficiency/value,138
Financial protection/OOP,Quality,99
Financial protection/OOP,Fiscal sustainability/resources,88
Financial protection/OOP,Pooling/fragmentation,123
Financial protection/OOP,Governance/implementation,247
Insurance/prepayment,Coverage/entitlement,2009
Insurance/prepayment,Access/utilization,1736
Insurance/prepayment,Financial protection,1244
Insurance/prepayment,Equity,689
Insurance/prepayment,Efficiency/value,268
Insurance/prepayment,Quality,253
Insurance/prepayment,Fiscal sustainability/resources,122
Insurance/prepayment,Pooling/fragmentation,206
Insurance/prepayment,Governance/implementation,683
Performance-based financing,Coverage/entitlement,76
Performance-based financing,Access/utilization,97
Performance-based financing,Financial protection,13
Performance-based financing,Equity,55
Performance-based financing,Efficiency/value,34
Performance-based financing,Quality,60
Performance-based financing,Fiscal sustainability/resources,7
Performance-based financing,Pooling/fragmentation,13
Performance-based financing,Governance/implementation,155
Pooling,Coverage/entitlement,49
Pooling,Access/utilization,39
Pooling,Financial protection,48
Pooling,Equity,30
Pooling,Efficiency/value,15
Pooling,Quality,11
Pooling,Fiscal sustainability/resources,10
Pooling,Pooling/fragmentation,78
Pooling,Governance/implementation,24
Purchasing/provider payment,Coverage/entitlement,101
Purchasing/provider payment,Access/utilization,62
Purchasing/provider payment,Financial protection,40
Purchasing/provider payment,Equity,62
Purchasing/provider payment,Efficiency/value,56
Purchasing/provider payment,Quality,21
Purchasing/provider payment,Fiscal sustainability/resources,15
Purchasing/provider payment,Pooling/fragmentation,36
Purchasing/provider payment,Governance/implementation,92
Revenue/public financing,Coverage/entitlement,116
Revenue/public financing,Access/utilization,104
Revenue/public financing,Financial protection,130
Revenue/public financing,Equity,89
Revenue/public financing,Efficiency/value,74
Revenue/public financing,Quality,10
Revenue/public financing,Fiscal sustainability/resources,217
Revenue/public financing,Pooling/fragmentation,14
Revenue/public financing,Governance/implementation,69
User fees/cost sharing,Coverage/entitlement,159
User fees/cost sharing,Access/utilization,290
User fees/cost sharing,Financial protection,144
User fees/cost sharing,Equity,148
User fees/cost sharing,Efficiency/value,44
User fees/cost sharing,Quality,66
User fees/cost sharing,Fiscal sustainability/resources,22
User fees/cost sharing,Pooling/fragmentation,35
User fees/cost sharing,Governance/implementation,135
Willingness to pay,Coverage/entitlement,88
Willingness to pay,Access/utilization,60
Willingness to pay,Financial protection,70
Willingness to pay,Equity,17
Willingness to pay,Efficiency/value,10
Willingness to pay,Quality,9
Willingness to pay,Fiscal sustainability/resources,7
Willingness to pay,Pooling/fragmentation,19
Willingness to pay,Governance/implementation,33
