Type,Signal,Records,Share_percent
Challenge,Affordability/OOP challenge,1189,20.2
Challenge,Inequity/regressivity challenge,529,9.0
Challenge,Informality/selection challenge,318,5.4
Challenge,Governance/capacity challenge,176,3.0
Challenge,Coverage/enrolment challenge,145,2.5
Challenge,Fiscal/sustainability challenge,123,2.1
Challenge,Fragmentation/pooling challenge,107,1.8
Challenge,Supply/provider challenge,35,0.6
Challenge,Donor-dependence challenge,11,0.2
Potential,Coverage/access potential,511,8.7
Potential,Equity potential,342,5.8
Potential,Financial-protection potential,232,3.9
Potential,Resource/pooling potential,103,1.7
Potential,Efficiency/quality potential,70,1.2
