country1,country2,shared_references,cosine_coupling
Canada,Burkina Faso,1418,0.41419921863274434
Germany,Burkina Faso,1442,0.40491992051485715
United States,United Kingdom,4751,0.3897660481231515
France,Burkina Faso,863,0.3446311663301496
United Kingdom,South Africa,2387,0.33670598957156084
Australia,Bangladesh,1167,0.3352951754380631
France,Senegal,560,0.3341712921813572
United Kingdom,Kenya,2065,0.3144193406461495
United States,Germany,2624,0.3084646271424297
Germany,Canada,1554,0.30425684704754064
India,United States,3826,0.30379922768356565
United Kingdom,Australia,2134,0.3029311794732299
Kenya,South Africa,1290,0.3022471898466245
United Kingdom,Tanzania,1887,0.29928864851548515
United Kingdom,Switzerland,1738,0.2981455116326126
Nigeria,South Africa,1665,0.2943109918225642
South Africa,Zambia,833,0.29072477657400936
Germany,France,1085,0.29042218855117685
United Kingdom,Ghana,2620,0.28973037698629334
Bangladesh,Sweden,656,0.2892858020317769
Germany,Malawi,883,0.28769772509777786
United States,Canada,2321,0.2838218591985587
United States,Netherlands,1987,0.2827843089988736
Ghana,South Africa,1661,0.28264788325537327
Canada,France,1015,0.2826150332985203
Tanzania,Switzerland,948,0.28137799306075917
Ghana,Netherlands,1465,0.2810404487853261
United Kingdom,Germany,2126,0.2792549508421073
Uganda,Zambia,564,0.2785873140039492
Nigeria,United Kingdom,2395,0.27511508077672736
United Kingdom,Bangladesh,1441,0.26735353248709226
South Africa,Uganda,870,0.2672675474892206
United States,Switzerland,1738,0.2668284865036258
India,Australia,1937,0.26613494640316426
India,United Kingdom,2979,0.26430676910756823
United Kingdom,Netherlands,1662,0.26429231990881186
Kenya,Zambia,699,0.2633328220833102
United States,Australia,2072,0.2632347550312742
United Kingdom,Canada,1926,0.26316193184603204
United Kingdom,Burkina Faso,1334,0.2614190001049215
United States,Kenya,1918,0.26136156173930636
Belgium,Burkina Faso,603,0.2611841036473619
Kenya,Tanzania,990,0.2608120651486712
United States,Nigeria,2529,0.2599929825486823
United States,Ghana,2619,0.2591983041120079
Kenya,Uganda,781,0.258981524712263
United States,Ethiopia,2055,0.25889308950948925
Tanzania,Norway,742,0.2575359497286994
United States,South Africa,2039,0.2574065334289835
Ghana,Australia,1496,0.25618803120734873
Switzerland,Belgium,672,0.2547979244780858
Uganda,Belgium,575,0.25372284069929785
United Kingdom,Malawi,1114,0.2533018444425189
Zambia,Malawi,449,0.25260277855352586
Ethiopia,Australia,1151,0.25090801867910745
Tanzania,Uganda,726,0.25077458393674384
Uganda,Pakistan,531,0.24971167415394585
United Kingdom,Pakistan,1153,0.24896888805772205
United States,Burkina Faso,1400,0.24553492346672606
United Kingdom,Uganda,1229,0.24535532838631427
United Kingdom,Belgium,1206,0.24434894901238396
Australia,Sweden,721,0.2432686580395951
Ethiopia,South Africa,1118,0.2421753205239302
Uganda,Malawi,489,0.24215340116884274
Tanzania,Zambia,617,0.24212639172761946
Switzerland,Pakistan,597,0.241242349164973
United Kingdom,Ethiopia,1713,0.24113601409062965
