term1,term2,cooccurrences
Finance,Payment,556
Finance,Public economics,310
Health insurance,National health insurance,283
Finance,Health insurance,258
Health facility,Health services,233
Health insurance,Health policy,203
Finance,Health policy,197
Health policy,Public economics,166
Health administration,Health services research,164
Health administration,Health economics,158
Health insurance,Public economics,155
Health economics,Health services research,155
Health insurance,Health services,153
Health policy,Health services research,152
Finance,Revenue,144
Health insurance,Payment,139
Health administration,Health policy,117
Health economics,Health policy,116
Public expenditure,Public finance,115
Finance,Health services,115
Payment,Public economics,108
Demographic economics,Health insurance,105
Finance,Poverty,104
Public economics,Public finance,104
Health insurance,Insurance policy,99
Community health,Health insurance,96
Health policy,Social determinants of health,91
Demographic economics,Public economics,89
Health policy,Payment,86
Demographic economics,Finance,79
Payment,Poverty,76
Health policy,Social policy,76
Finance,Private sector,75
Health economics,Health insurance,75
Health services research,Social policy,73
Finance,User fee,71
Finance,Public finance,68
Health insurance,Poverty,68
Finance,Health facility,68
Health services,Payment,65
Public economics,Public expenditure,64
Finance,Health economics,64
Finance,Purchasing,63
Health insurance,Social determinants of health,62
Private sector,Public sector,62
Health equity,Health policy,60
Health policy,Health services,60
Public economics,Revenue,59
Finance,Insurance policy,59
Finance,Health administration,58
Finance,Reimbursement,57
Finance,Health services research,57
Health insurance,Socioeconomic status,56
Finance,Subsidy,56
Health administration,Health insurance,56
Finance,Social determinants of health,55
Health insurance,Health services research,55
Demographic economics,Payment,54
Poverty,Public economics,54
Health policy,Public finance,54
Health facility,Payment,53
Finance,Health care financing,53
Finance,National health insurance,52
Community health,Finance,52
Community health,Health services,51
Health economics,Social policy,51
Health sector,Health services,50
Health insurance,Social insurance,50
Health insurance,Subsidy,50
Health facility,Health insurance,50
Health services,National health insurance,49
Finance,Public sector,49
Public economics,User fee,48
Development economics,Public economics,48
Health insurance,Public health insurance,46
Health policy,Public administration,46
Health economics,Payment,46
Health policy,Insurance policy,46
Public economics,Social determinants of health,45
Health insurance,Private sector,45
Development economics,Finance,45
Finance,Public administration,45
Health economics,Public economics,43
Health policy,Poverty,43
Health insurance,Health spending,42
Health policy,Private sector,42
Health administration,Payment,41
Payment,Reimbursement,41
Public economics,Subsidy,41
Community health,Health facility,41
Health economics,Public finance,41
Health services research,Public finance,40
Demographic economics,Poverty,40
Health insurance,Rural health,40
Health services research,Public economics,39
Health administration,Social policy,39
Health policy,National health insurance,39
Health equity,Health insurance,39
Demographic economics,Socioeconomic status,39
Insurance policy,Risk pool,38
Public economics,Welfare,38
Health policy,User fee,38
Demographic economics,Public finance,38
Health policy,Revenue,37
Revenue,User fee,36
Payment,Revenue,36
Health policy,Purchasing,36
Private sector,Public economics,36
Finance,Socioeconomic status,36
Capitation,Payment,35
Demographic economics,Public expenditure,35
Health equity,Public economics,35
Demographic economics,Inequality,34
Payment,Private sector,34
Health services research,Payment,34
Community health,Payment,34
Payment,Purchasing,34
Payment,Socioeconomic status,33
Capitation,Finance,33
Insurance policy,Public economics,33
Health services,Public economics,32
Health equity,Social determinants of health,32
Government expenditure,Public finance,31
Finance,Welfare,31
Finance,Public expenditure,31
Health insurance,Medical insurance,30
Payment,Subsidy,30
Public economics,Public sector,30
Health administration,Health services,30
Health administration,Health facility,30
Health policy,Subsidy,30
Development economics,Public finance,30
Health facility,Health policy,29
Health insurance,Maternal health,29
Inequality,Socioeconomic status,28
National health insurance,Payment,28
Finance,Inequality,27
Inequality,Public economics,27
Poverty,Welfare,27
Community health,Health policy,27
Social determinants of health,Social insurance,27
Finance,Health equity,27
Public administration,Public economics,26
Health insurance,Welfare,26
Health insurance,Universal coverage,26
Health services,User fee,26
Social determinants of health,Socioeconomic status,25
Poverty,Social determinants of health,25
Demographic economics,Welfare,25
Health policy,Public sector,25
Development economics,Poverty,25
Public finance,Social policy,25
Finance,Risk pool,25
Health administration,Public finance,24
Finance,Innovative financing,24
Health policy,Universal coverage,24
Health insurance,Public sector,24
Health equity,Inequality,24
Health spending,Public economics,24
