ref1,ref2,cocitations
W2125849337,W2170964814,127
W2125849337,W2126583499,82
W2125849337,W2137321576,63
W2125849337,W2772759979,58
W2109725907,W2125849337,57
W2126583499,W2170964814,54
W2196182430,W2516915067,53
W2016834351,W2115011764,51
W2115011764,W2140155984,49
W2125849337,W3123188741,47
W2044203638,W2125849337,47
W2119775317,W2125849337,46
W2125849337,W2153603229,45
W2109725907,W2170964814,43
W2046034301,W2125902622,43
W2516915067,W2795223612,42
W2046034301,W2156885153,42
W2137321576,W2170964814,41
W2109725907,W2137321576,37
W2170964814,W3123188741,37
W2096969338,W2125849337,36
W2125902622,W2156885153,35
W2585592226,W2601005047,35
W2125849337,W2149849126,35
W2006696925,W2153025271,35
W1841733224,W2125849337,35
W2006696925,W2161933266,34
W2006696925,W2116542195,34
W1841733224,W2170964814,34
W2114027117,W2116542195,33
W1997866269,W2125849337,33
W1582873904,W2046034301,33
W2119775317,W2170964814,32
W2016834351,W2140155984,31
W2061316418,W2115011764,31
W2149849126,W2170964814,31
W2096969338,W2115011764,31
W2170964814,W2772759979,31
W2119775317,W2126583499,31
W2196182430,W2795223612,30
W2016834351,W2132441191,30
W2126583499,W2137321576,29
W2041725211,W2119775317,29
W2108970446,W2153025271,29
W2019013274,W2061316418,29
W2109725907,W2149849126,29
W2016834351,W2150517994,28
W2153603229,W2170964814,28
W1981075066,W2061316418,28
W1582873904,W2156885153,28
W2004745343,W2019013274,28
W2117812349,W2196182430,28
W2126583499,W2153603229,28
W2044203638,W2170964814,27
W2031976398,W2125849337,27
W2108970446,W2116542195,27
W2116542195,W2168477744,27
W2019013274,W2149691825,27
W2004804433,W2161933266,27
W2116542195,W2153025271,26
W1981075066,W2149691825,26
W2004745343,W2115011764,26
W2115011764,W2149691825,26
W2108970446,W2132666096,26
W1981075066,W2019013274,26
W2126583499,W2772759979,25
W2117812349,W2516915067,25
W1981075066,W2115011764,25
W2004745343,W2061316418,25
W2004745343,W2149691825,25
W2116542195,W2161933266,25
W2016834351,W2061316418,25
W2108970446,W2161933266,25
W2006696925,W2108970446,25
W2115011764,W2125849337,25
W1981075066,W2516915067,25
W1582873904,W2125902622,25
W2109725907,W2126583499,24
W2115011764,W2132441191,23
W1981075066,W2117812349,23
W2061316418,W2149691825,23
W2126583499,W3123188741,23
W2137321576,W3123188741,23
W2125849337,W2152846959,22
W2137321576,W2153603229,22
W2044203638,W2119775317,22
W2119775317,W2147456678,22
W1981075066,W2116542195,22
W2116542195,W2132666096,22
W2125849337,W2801838590,22
W2119775317,W2516915067,21
W1981075066,W2004745343,21
W2114027117,W2119775317,21
W2119775317,W2140155984,21
W2153025271,W2161933266,21
W2102858050,W2125849337,21
W2061316418,W2140155984,21
W2124360428,W2125849337,21
W2096969338,W2170964814,21
W2116542195,W2119775317,21
W2772759979,W2801838590,20
W2004745343,W2116542195,20
W2132441191,W2140155984,20
W2116542195,W2196182430,20
W1981075066,W2196182430,20
W2149849126,W2601005047,20
W2115011764,W2119775317,20
W2117812349,W2119775317,20
W2006696925,W2114027117,20
W2116542195,W2132441191,20
W1841733224,W2137321576,20
W2117812349,W2795223612,20
W2170964814,W2585592226,20
W2016834351,W2119775317,20
W2041725211,W2124360428,20
W2044203638,W2126583499,19
W2116542195,W2140155984,19
W2016834351,W2149691825,19
W2019013274,W2115011764,19
W2137321576,W2772759979,19
W1981075066,W2140155984,19
W2110203502,W2161933266,19
W2116542195,W2149691825,19
W2006696925,W2110203502,19
W2149849126,W2152846959,19
W2110203502,W2119775317,19
W2119775317,W2132666096,19
W1841733224,W2119775317,18
W2125849337,W4230973621,18
W2112093136,W2125849337,18
W2004804433,W2006696925,18
W2112093136,W2119775317,18
W1997866269,W2119775317,18
W2170964814,W2601005047,18
W2115011764,W2516915067,18
W1981075066,W2114027117,18
W1997866269,W2044203638,18
W2170964814,W4230973621,18
W2004745343,W2516915067,18
W2124360428,W2128442162,18
W2137321576,W2149849126,18
W2006696925,W2132666096,18
W2119775317,W2124360428,18
W2108970446,W2549703245,18
