journal,publications,citations,mean_citations,mean_fwci
BMC Health Services Research,221,6709,30.357466063348415,4.711807692307692
Health Policy and Planning,178,9694,54.46067415730337,5.636402247191011
PLoS ONE,138,5030,36.44927536231884,4.7904623188405795
International Journal for Equity in Health,92,4521,49.141304347826086,6.56905543478261
Social Science & Medicine,80,4538,56.725,5.158525
The International Journal of Health Planning and Management,77,1901,24.68831168831169,2.1282103896103894
Health Economics Review,65,1575,24.23076923076923,3.8861600000000003
BMJ Open,57,972,17.05263157894737,3.194264912280702
BMC Public Health,56,1647,29.410714285714285,4.265416071428572
Journal of Health Management,52,333,6.403846153846154,0.8765288461538462
The Lancet,48,4105,85.52083333333333,12.5420125
BMJ Global Health,47,1232,26.21276595744681,5.653308510638299
Frontiers in Public Health,47,601,12.787234042553191,4.3740106382978725
International Journal of Health Policy and Management,41,1306,31.853658536585368,4.256539024390244
Bulletin of the World Health Organization,36,2582,71.72222222222223,7.2926166666666665
Health Research Policy and Systems,32,1708,53.375,6.076403125
PLOS Global Public Health,32,160,5.0,2.2331375
Cost Effectiveness and Resource Allocation,29,510,17.586206896551722,4.396944827586207
Health Systems & Reform,25,506,20.24,4.203812
Pan African Medical Journal,25,429,17.16,1.9479680000000001
Health Economics,23,1347,58.56521739130435,6.243826086956522
Global Health Action,23,804,34.95652173913044,4.398165217391304
International Journal of Community Medicine and Public Health,23,75,3.260869565217391,0.3909347826086957
Health Policy,22,2097,95.31818181818181,4.184200000000001
SSM - Health Systems,21,41,1.9523809523809523,1.515247619047619
