author_id,author,publications,corpus_h_index
A5003911982,Manuela De Allegri,77,27
A5073831202,Valéry Ridde,71,26
A5052430164,Patrick Eozenou,69,2
A5036216839,Rafael Cortez,68,1
A5008939059,Aaka Pande,67,1
A5109009863,Marc Smitz,47,1
A5051872590,Ece Özçelik,46,1
A5005663986,Adam Leive,41,1
A5043865722,Josephine Borghi,40,19
A5087585101,Armin Fidler,34,1
A5086867664,Obinna Onwujekwe,33,16
A5021137058,Nicole Klingen,33,1
A5071690494,Shankar Prinja,32,19
A5038768424,Rainer Sauerborn,29,22
A5009314393,Bart Criel,29,21
A5023123657,Edwine Barasa,29,16
A5034250044,David M. Dror,27,13
A5038426095,Collins Chansa,25,7
A5069723691,Stephan Brenner,24,14
A5089263800,Sophie Witter,23,17
A5020113759,Julia Lohmann,23,14
A5086831088,Fabrizio Tediosi,23,13
A5005678196,Tanimola M. Akande,23,12
A5035477752,Moses Aikins,22,15
A5053779880,James Akazili,22,12
