institution_id,institution,country,publications
I138690464,University of Ghana,Ghana,191
I4210089966,London School of Hygiene & Tropical Medicine,United Kingdom,159
I223822909,Heidelberg University,Germany,117
I4210159584,Ghana Health Service,Ghana,84
I11892038,University of Nigeria,Nigeria,80
I136199984,Harvard University,United States,76
I2802164966,University Hospital Heidelberg,Germany,72
I28046988,Kwame Nkrumah University of Science and Technology,Ghana,68
I4210156643,Harvard Global Health Institute,United States,66
I4432739,University of Bergen,Norway,64
I78281549,Instituut voor Tropische Geneeskunde,Belgium,62
I181631907,University of Ibadan,Nigeria,60
I4537092,Addis Ababa University,Ethiopia,60
I4210105654,World Health Organization,Switzerland,54
I70931966,Université de Montréal,Canada,53
I164861460,Manipal Academy of Higher Education,India,52
I2841861,Kenya Medical Research Institute,Kenya,51
I45294948,Post Graduate Institute of Medical Education and Research,India,50
I72227227,Makerere University,Uganda,49
I40120149,University of Oxford,United Kingdom,48
I1334329717,World Bank,United States,46
I83291730,University for Development Studies,Ghana,46
I157614274,University of Cape Town,South Africa,46
I4210166444,Institut de Recherche pour le Développement,France,46
I8764889,University of Gondar,Ethiopia,46
