country,full_count,target_income_group
India,952,Lower-middle income
United States,801,Other economy
Nigeria,665,Lower-middle income
United Kingdom,530,Other economy
Ghana,420,Lower-middle income
Ethiopia,308,Low income
Kenya,250,Lower-middle income
Germany,209,Other economy
Canada,185,Other economy
South Africa,181,Other economy
Tanzania,175,Lower-middle income
Australia,162,Other economy
Netherlands,161,Other economy
Nepal,138,Lower-middle income
Switzerland,130,Other economy
Uganda,115,Low income
Bangladesh,114,Lower-middle income
Belgium,110,Other economy
Pakistan,101,Lower-middle income
France,100,Other economy
China,97,Other economy
Burkina Faso,95,Low income
Norway,80,Other economy
Zambia,77,Lower-middle income
Sweden,73,Other economy
Cameroon,63,Lower-middle income
Japan,61,Other economy
Senegal,60,Lower-middle income
Egypt,58,Lower-middle income
Malawi,52,Low income
