country1,country2,collaborations
India,United States,108
United Kingdom,United States,104
Nigeria,United States,76
India,United Kingdom,72
Ghana,United States,54
Ghana,United Kingdom,53
Nigeria,United Kingdom,52
Kenya,United States,51
Kenya,United Kingdom,48
Ethiopia,United States,46
Germany,United States,44
Burkina Faso,Germany,41
Ghana,Netherlands,40
Australia,United Kingdom,40
Canada,United States,40
Tanzania,United Kingdom,39
South Africa,United Kingdom,39
Netherlands,United States,38
Germany,United Kingdom,38
Burkina Faso,Canada,36
Australia,India,36
India,Netherlands,35
Switzerland,United States,34
South Africa,United States,31
Bangladesh,United Kingdom,30
Australia,Ghana,30
Nepal,United States,29
Switzerland,United Kingdom,29
Australia,United States,29
Ethiopia,United Kingdom,28
Burkina Faso,United States,28
Canada,United Kingdom,26
Nigeria,South Africa,26
Ghana,South Africa,25
Netherlands,United Kingdom,24
Norway,United States,23
India,Switzerland,23
Burkina Faso,United Kingdom,23
Canada,Germany,23
Netherlands,Nigeria,23
Canada,France,23
China,United States,22
Australia,Bangladesh,22
Norway,Tanzania,22
Canada,Ghana,21
Kenya,South Africa,21
Germany,Ghana,21
Sweden,United Kingdom,21
Canada,Nigeria,20
Tanzania,United States,20
