country,income_group,study_mentions,country_specific_papers,country_specific_first_country_known,local_first_author_n,local_first_author_share_country_specific
India,Lower-middle income,1314,1259,931,766,0.8227712137486574
Nigeria,Lower-middle income,994,900,657,541,0.8234398782343988
Ghana,Lower-middle income,675,585,454,317,0.698237885462555
Ethiopia,Low income,388,358,294,256,0.8707482993197279
Kenya,Lower-middle income,339,275,209,156,0.7464114832535885
Tanzania,Lower-middle income,266,222,170,128,0.7529411764705882
Nepal,Lower-middle income,192,171,138,105,0.7608695652173914
Uganda,Low income,166,134,106,67,0.6320754716981132
Burkina Faso,Low income,139,100,87,21,0.2413793103448276
Bangladesh,Lower-middle income,137,115,96,78,0.8125
Rwanda,Low income,136,86,64,21,0.328125
Zambia,Lower-middle income,119,92,60,38,0.6333333333333333
Pakistan,Lower-middle income,109,94,76,52,0.6842105263157895
Egypt,Lower-middle income,97,84,51,41,0.803921568627451
Cameroon,Lower-middle income,86,74,63,44,0.6984126984126984
Senegal,Lower-middle income,85,67,60,36,0.6
Cambodia,Lower-middle income,77,55,40,17,0.425
Malawi,Low income,70,53,44,14,0.3181818181818182
Zimbabwe,Lower-middle income,69,49,32,11,0.34375
Mali,Low income,51,29,26,16,0.6153846153846154
