year,publications,citations,mean_citations,mean_fwci
1990,3,18,6.0,0.5331333333333333
1991,4,112,28.0,2.146975
1992,4,281,70.25,3.4567
1993,6,400,66.66666666666667,4.350666666666666
1994,4,32,8.0,0.520125
1995,9,488,54.22222222222222,2.4940111111111114
1996,6,141,23.5,1.3091333333333333
1997,11,331,30.09090909090909,1.8685181818181817
1998,16,491,30.6875,1.42805
1999,9,545,60.55555555555556,3.2901666666666665
2000,25,645,25.8,1.8056919999999999
2001,21,415,19.761904761904763,1.5662428571428568
2002,25,766,30.64,1.285572
2003,30,901,30.033333333333335,2.208113333333333
2004,52,2263,43.51923076923077,2.1934634615384616
2005,45,1736,38.577777777777776,2.2860355555555554
2006,37,1514,40.91891891891892,2.4800054054054055
2007,62,1848,29.806451612903224,1.228166129032258
2008,72,2146,29.805555555555557,1.8034597222222222
2009,78,3160,40.51282051282051,3.341703846153846
2010,92,3593,39.05434782608695,2.9572663043478262
2011,129,4621,35.82170542635659,4.352760465116279
2012,189,5600,29.62962962962963,2.1845386243386242
2013,255,4855,19.03921568627451,1.7586380392156862
2014,201,4430,22.039800995024876,2.0234268656716417
2015,204,5039,24.70098039215686,2.840103801078431
2016,258,5601,21.709302325581394,3.3763627906976743
2017,288,7823,27.163194444444443,3.363701736111111
2018,302,7761,25.698675496688743,3.1310182119205296
2019,348,6027,17.31896551724138,2.389339367816092
2020,345,4336,12.568115942028985,1.6580548707826088
2021,370,4611,12.462162162162162,1.7843894594594596
2022,383,3980,10.391644908616188,1.982074412532637
2023,413,2875,6.961259079903147,1.9016394673123487
2024,435,2832,6.510344827586207,3.197670804597701
2025,571,829,1.4518388791593695,1.6077661996497372
2026,596,46,0.07718120805369127,0.7357546979865771
