author_id,author,publications,corpus_h_index
A5003911982,Manuela De Allegri,77,27
A5073831202,Valéry Ridde,71,26
A5052430164,Patrick Eozenou,69,2
A5036216839,Rafael Cortez,68,1
A5008939059,Aaka Pande,67,1
A5109009863,Marc Smitz,47,1
A5051872590,Ece Özçelik,46,1
A5005663986,Adam Leive,41,1
A5043865722,Josephine Borghi,40,19
A5087585101,Armin Fidler,34,1
A5086867664,Obinna Onwujekwe,33,16
A5021137058,Nicole Klingen,33,1
A5071690494,Shankar Prinja,32,19
A5038768424,Rainer Sauerborn,29,22
A5009314393,Bart Criel,29,21
A5023123657,Edwine Barasa,29,16
A5034250044,David M. Dror,27,13
A5038426095,Collins Chansa,25,7
A5069723691,Stephan Brenner,24,14
A5089263800,Sophie Witter,23,17
A5020113759,Julia Lohmann,23,14
A5086831088,Fabrizio Tediosi,23,13
A5005678196,Tanimola M. Akande,23,12
A5035477752,Moses Aikins,22,15
A5053779880,James Akazili,22,12
A5074620658,Bruno Meessen,21,14
A5058606492,Peter Binyaruka,21,13
A5055681999,Eric Nsiah-Boateng,21,10
A5027293334,Jed Friedman,21,5
A5069208010,Aurélia Souares,20,14
A5047054310,Paul Jacob Robyn,20,13
A5033237320,Jumana N. Qamruddin,20,3
A5088486542,Benjamin Uzochukwu,19,14
A5027011037,Sanjay K. Mohanty,18,13
A5043469628,Maria Paola Bertone,18,12
A5046130488,Günther Fink,18,11
A5049301202,Felix Masiye,17,11
A5076810609,Robert Basaza,17,9
A5033327439,Irène Akua Agyepong,16,13
A5012633127,Joses Muthuri Kirigia,16,12
A5017362947,August Kuwawenaruwa,16,12
A5023207678,John E. Ataguba,16,12
A5066211105,Daniel Arhinful,16,12
A5059887341,Stéphane Verguet,16,11
A5023295118,David Ayobami Adewole,16,7
A5090513858,Nkenda Sachingongu,16,2
A5044698674,Ernst Spaan,15,13
A5027079906,Genevieve Cecilia Aryeetey,15,12
A5014597322,Kara Hanson,15,11
A5046584081,Patricia Akweongo,15,11
A5028644402,Abdur Razzaque Sarker,15,10
A5048079337,Francis Asenso‐Boadi,15,9
A5033622436,Devaraj Acharya,15,8
A5023491249,Gordon C Shen,15,1
A5020664023,Edward Nketiah‐Amponsah,14,9
A5082946522,Arjun S. Bedi,14,9
