journal,publications,citations,mean_citations,mean_fwci,cum,zone
BMC Health Services Research,221,6709,30.357466063348415,4.711807692307692,221,1
Health Policy and Planning,178,9694,54.46067415730337,5.636402247191011,399,1
PLoS ONE,138,5030,36.44927536231884,4.7904623188405795,537,1
International Journal for Equity in Health,92,4521,49.141304347826086,6.56905543478261,629,1
Social Science & Medicine,80,4538,56.725,5.158525,709,1
The International Journal of Health Planning and Management,77,1901,24.68831168831169,2.1282103896103894,786,1
Health Economics Review,65,1575,24.23076923076923,3.8861600000000003,851,1
BMJ Open,57,972,17.05263157894737,3.194264912280702,908,1
BMC Public Health,56,1647,29.410714285714285,4.265416071428572,964,1
Journal of Health Management,52,333,6.403846153846154,0.8765288461538462,1016,1
The Lancet,48,4105,85.52083333333333,12.5420125,1064,1
BMJ Global Health,47,1232,26.21276595744681,5.653308510638299,1111,1
Frontiers in Public Health,47,601,12.787234042553191,4.3740106382978725,1158,1
International Journal of Health Policy and Management,41,1306,31.853658536585368,4.256539024390244,1199,1
Bulletin of the World Health Organization,36,2582,71.72222222222223,7.2926166666666665,1235,1
Health Research Policy and Systems,32,1708,53.375,6.076403125,1267,1
PLOS Global Public Health,32,160,5.0,2.2331375,1299,1
Cost Effectiveness and Resource Allocation,29,510,17.586206896551722,4.396944827586207,1328,1
Health Systems & Reform,25,506,20.24,4.203812,1353,1
Pan African Medical Journal,25,429,17.16,1.9479680000000001,1378,1
Health Economics,23,1347,58.56521739130435,6.243826086956522,1401,1
Global Health Action,23,804,34.95652173913044,4.398165217391304,1424,1
International Journal of Community Medicine and Public Health,23,75,3.260869565217391,0.3909347826086957,1447,1
Health Policy,22,2097,95.31818181818181,4.184200000000001,1469,1
SSM - Health Systems,21,41,1.9523809523809523,1.515247619047619,1490,1
Tropical Medicine & International Health,20,1190,59.5,4.602935,1510,1
Applied Health Economics and Health Policy,20,622,31.1,4.442625,1530,1
ClinicoEconomics and Outcomes Research,20,331,16.55,2.460435,1550,1
Cureus,20,50,2.5,1.66204,1570,1
Globalization and Health,19,814,42.8421052631579,5.219905263157895,1589,1
Global Health Research and Policy,19,570,30.0,4.577378947368421,1608,2
Texila international journal of public health,19,27,1.4210526315789473,0.20288421052631578,1627,2
International Journal of Research and Innovation in Social Science,19,0,0.0,0.0,1646,2
World Development,18,1140,63.333333333333336,5.316627777777778,1664,2
International Journal of Health Economics and Policy,18,56,3.111111111111111,0.5783388888888888,1682,2
International Journal of Environmental Research and Public Health,17,322,18.941176470588236,2.6127000000000002,1699,2
The Lancet Global Health,16,630,39.375,9.51648125,1715,2
Clinical Epidemiology and Global Health,15,199,13.266666666666667,1.66632,1730,2
Journal of Community Medicine and Primary Health Care,15,91,6.066666666666666,0.7396066666666667,1745,2
Value in Health,15,20,1.3333333333333333,0.04918,1760,2
International Journal For Multidisciplinary Research,15,6,0.4,0.12751333333333334,1775,2
World Journal of Advanced Research and Reviews,15,5,0.3333333333333333,0.030313333333333334,1790,2
International Health,14,382,27.285714285714285,2.8430642857142856,1804,2
Global Journal of Health Science,13,389,29.923076923076923,2.5181923076923076,1817,2
Risk Management and Healthcare Policy,13,356,27.384615384615383,3.507,1830,2
Archives of Public Health,13,347,26.692307692307693,3.4892538461538463,1843,2
International Journal of Health Economics and Management,13,155,11.923076923076923,1.6791153846153846,1856,2
Journal of Public Health in Africa,13,122,9.384615384615385,1.055076923076923,1869,2
Frontiers in Health Services,13,78,6.0,1.6705153846153846,1882,2
Health Affairs,12,727,60.583333333333336,7.333725,1894,2
BMJ,12,250,20.833333333333332,2.4908916666666667,1906,2
World Medical & Health Policy,12,71,5.916666666666667,1.286125,1918,2
African Journal of Health Economics,12,70,5.833333333333333,0.5334416666666667,1930,2
Discover Public Health,12,10,0.8333333333333334,0.725475,1942,2
BMC Research Notes,11,333,30.272727272727273,4.968009090909091,1953,2
Value in Health Regional Issues,11,239,21.727272727272727,1.6412909090909091,1964,2
The Indian Journal of Medical Research,11,192,17.454545454545453,3.419845454545454,1975,2
Journal of Family Medicine and Primary Care,11,177,16.09090909090909,1.9433,1986,2
BMC Pregnancy and Childbirth,11,169,15.363636363636363,3.7801636363636364,1997,2
Indian Journal of Community Medicine,11,141,12.818181818181818,1.3030818181818182,2008,2
Journal of Public Health,11,92,8.363636363636363,0.8458727272727273,2019,2
Indian Journal of Public Health Research & Development,11,10,0.9090909090909091,0.06707549272727273,2030,2
BMC International Health and Human Rights,10,514,51.4,4.78041,2040,2
Journal of Global Health,10,230,23.0,3.8302300000000002,2050,2
The Lancet Regional Health - Southeast Asia,10,143,14.3,6.10911,2060,2
International Social Security Review,10,100,10.0,1.51832,2070,2
Advances in Public Health,10,91,9.1,1.34573,2080,2
International Journal of TROPICAL DISEASE & Health,10,90,9.0,0.76825,2090,2
International Journal of Healthcare Management,10,44,4.4,0.97413,2100,2
F1000Research,10,26,2.6,0.61705,2110,2
European Journal of Public Health,10,14,1.4,0.15782000000000002,2120,2
Human Resources for Health,9,478,53.111111111111114,9.179077777777778,2129,2
Nigerian Medical Journal,9,213,23.666666666666668,1.5682555555555555,2138,2
World Journal of Surgery,9,110,12.222222222222221,4.408133333333334,2147,2
Health Policy OPEN,9,87,9.666666666666666,2.4442444444444447,2156,2
Health,9,71,7.888888888888889,1.0011555555555556,2165,2
Health Science Reports,9,34,3.7777777777777777,3.920388888888889,2174,2
Healthcare,9,28,3.111111111111111,1.6106666666666667,2183,2
Discover Health Systems,9,10,1.1111111111111112,1.891911111111111,2192,2
African Journal of Empirical Research,9,1,0.1111111111111111,0.17547777777777776,2201,2
Journal of Health Population and Nutrition,8,235,29.375,3.569025,2209,2
The Geneva Papers on Risk and Insurance Issues and Practice,8,145,18.125,1.6904499999999998,2217,2
SSM - Population Health,8,128,16.0,3.4076875,2225,2
Indian Journal of Public Health,8,102,12.75,1.6662625,2233,2
Nigerian Postgraduate Medical Journal,8,92,11.5,2.110325,2241,2
International Journal of Social Economics,8,84,10.5,1.7354375,2249,2
Health Services Insights,8,57,7.125,1.470625,2257,2
Journal of Public Health Research,8,47,5.875,1.8598625,2265,2
Health Economics and Management Review,8,24,3.0,3.4300499999999996,2273,2
BMJ Public Health,8,16,2.0,1.4762,2281,2
Nepalese Journal of Insurance and Social Security,8,15,1.875,0.44008749999999996,2289,2
Texila international journal of management,8,4,0.5,0.1935875,2297,2
South Eastern European Journal of Public Health,8,3,0.375,0.2817375,2305,2
International journal of research and scientific innovation,8,1,0.125,0.0818125,2313,2
PLoS Medicine,7,374,53.42857142857143,6.4734,2320,2
The European Journal of Health Economics,7,311,44.42857142857143,4.263757142857143,2327,2
Journal of Public Affairs,7,122,17.428571428571427,3.16,2334,2
Asia Pacific Journal of Health Management,7,33,4.714285714285714,0.8470428571428571,2341,2
Annals of Global Health,7,25,3.5714285714285716,1.0447,2348,2
National Journal of Community Medicine,7,22,3.142857142857143,0.8292428571428572,2355,2
Nigerian Journal of Clinical Practice,6,449,74.83333333333333,5.322633333333333,2361,2
Journal of Health Economics,6,258,43.0,3.6482166666666664,2367,2
Malaria Journal,6,209,34.833333333333336,5.24155,2373,2
Studies on Ethno-Medicine,6,157,26.166666666666668,1.0200333333333333,2379,2
African Development Review,6,145,24.166666666666668,3.1551666666666662,2385,2
Journal of the Egyptian Public Health Association,6,139,23.166666666666668,2.3726333333333334,2391,2
Maternal and Child Health Journal,6,116,19.333333333333332,1.7242666666666666,2397,2
Ethiopian Journal of Health Sciences,6,112,18.666666666666668,1.2729666666666668,2403,2
International Journal of Public Administration,6,104,17.333333333333332,1.0387166666666667,2409,2
Indian Journal of Psychiatry,6,58,9.666666666666666,1.8488666666666667,2415,2
Ghana Journal of Development Studies,6,54,9.0,1.0027666666666668,2421,2
Indian Journal of Medical Ethics,6,24,4.0,0.357,2427,2
Developing Country Studies,6,22,3.6666666666666665,0.7989833333333333,2433,2
Economies,6,7,1.1666666666666667,1.0994166666666667,2439,2
Global Health Economics and Sustainability,6,7,1.1666666666666667,0.7863833333333332,2445,2
International Journal of Medicine and Health Development,6,7,1.1666666666666667,0.205,2451,2
Central African Journal of Public Health,6,2,0.3333333333333333,0.0,2457,2
Journal of the Pakistan Medical Association,6,1,0.16666666666666666,0.0,2463,2
The International Journal of Business & Management,6,1,0.16666666666666666,0.07935,2469,2
Reproductive Health Matters,5,359,71.8,4.43082,2474,2
International Journal of Health Care Finance and Economics,5,311,62.2,3.93484,2479,2
BMC Medicine,5,156,31.2,6.34052,2484,2
Public Health,5,147,29.4,3.40018,2489,2
Implementation Science,5,144,28.8,4.49542,2494,2
The Journal of Development Studies,5,141,28.2,3.06832,2499,2
Global Public Health,5,99,19.8,2.48752,2504,2
Ghana Medical Journal,5,94,18.8,2.21308,2509,2
Wellcome Open Research,5,85,17.0,2.30776,2514,2
Global Health Science and Practice,5,83,16.6,3.6181400000000004,2519,2
Cogent Economics & Finance,5,68,13.6,3.02168,2524,2
American journal of public health research,5,58,11.6,0.7041999999999999,2529,2
Journal of Aging & Social Policy,5,57,11.4,1.1000999999999999,2534,2
Ethiopian Journal of Health Development,5,55,11.0,0.60084,2539,2
Journal of International Development,5,55,11.0,1.5472,2544,2
SAGE Open Medicine,5,50,10.0,1.13072,2549,2
