country1,country2,collaborations
India,United States,108
United Kingdom,United States,104
Nigeria,United States,76
India,United Kingdom,72
Ghana,United States,54
Ghana,United Kingdom,53
Nigeria,United Kingdom,52
Kenya,United States,51
Kenya,United Kingdom,48
Ethiopia,United States,46
Germany,United States,44
Burkina Faso,Germany,41
Ghana,Netherlands,40
Australia,United Kingdom,40
Canada,United States,40
Tanzania,United Kingdom,39
South Africa,United Kingdom,39
Netherlands,United States,38
Germany,United Kingdom,38
Burkina Faso,Canada,36
Australia,India,36
India,Netherlands,35
Switzerland,United States,34
South Africa,United States,31
Bangladesh,United Kingdom,30
Australia,Ghana,30
Nepal,United States,29
Switzerland,United Kingdom,29
Australia,United States,29
Ethiopia,United Kingdom,28
Burkina Faso,United States,28
Canada,United Kingdom,26
Nigeria,South Africa,26
Ghana,South Africa,25
Netherlands,United Kingdom,24
Norway,United States,23
India,Switzerland,23
Burkina Faso,United Kingdom,23
Canada,Germany,23
Netherlands,Nigeria,23
Canada,France,23
China,United States,22
Australia,Bangladesh,22
Norway,Tanzania,22
Canada,Ghana,21
Kenya,South Africa,21
Germany,Ghana,21
Sweden,United Kingdom,21
Canada,Nigeria,20
Tanzania,United States,20
Belgium,United Kingdom,20
Burkina Faso,France,19
Uganda,United States,19
Germany,Malawi,19
Rwanda,United States,19
Belgium,India,18
Switzerland,Tanzania,18
Ethiopia,Norway,17
Canada,India,17
Pakistan,United Kingdom,17
France,Germany,17
Uganda,United Kingdom,17
France,United States,16
Sweden,United States,16
France,Senegal,16
China,Nigeria,16
Bangladesh,United States,16
Bangladesh,Sweden,15
Norway,United Kingdom,15
Australia,Ethiopia,14
Ethiopia,South Africa,14
India,Japan,14
Germany,India,14
India,South Africa,14
Ghana,Kenya,14
Ethiopia,Netherlands,13
Malawi,United Kingdom,13
Sierra Leone,United Kingdom,13
Belgium,Uganda,13
Pakistan,United States,13
United Kingdom,Zimbabwe,13
Denmark,United Kingdom,13
Ghana,Switzerland,13
Belgium,United States,12
Pakistan,Switzerland,12
Sweden,Zambia,12
India,Nigeria,12
India,Nepal,12
Germany,Netherlands,12
Cameroon,United Kingdom,12
South Africa,Zambia,12
Ethiopia,Ghana,11
Cambodia,Philippines,11
Australia,Canada,11
Cambodia,United States,11
United States,Zambia,11
Nepal,United Kingdom,11
Cameroon,United States,11
Japan,United Kingdom,10
Kenya,Switzerland,10
India,Kenya,10
Germany,Nigeria,10
Bangladesh,India,10
Australia,Sweden,10
Kenya,Netherlands,10
Kenya,Tanzania,10
Ethiopia,Switzerland,10
France,Mali,10
Israel,Netherlands,10
Belgium,Burkina Faso,9
Australia,Nigeria,9
South Africa,Uganda,9
Germany,Uganda,9
Ghana,Zambia,9
Tanzania,Uganda,9
Switzerland,Uganda,9
"Korea, Republic of",United States,9
Guyana,Nigeria,9
Belgium,Switzerland,9
Kenya,Uganda,9
Japan,United States,9
Germany,Switzerland,9
Cambodia,United Kingdom,9
Netherlands,Switzerland,9
India,Israel,9
Australia,Pakistan,8
Côte d'Ivoire,United States,8
Germany,South Africa,8
Philippines,United Kingdom,8
Nigeria,Tanzania,8
South Africa,Switzerland,8
Belgium,Cambodia,8
Canada,Ethiopia,8
Italy,United States,8
Ethiopia,Uganda,8
Germany,Philippines,8
Australia,Switzerland,8
Netherlands,South Africa,8
Ethiopia,Germany,8
Canada,South Africa,8
Mozambique,United States,8
Australia,Netherlands,8
Germany,Kenya,8
Australia,Nepal,8
Denmark,Ghana,8
Belgium,Benin,8
India,Pakistan,8
Burkina Faso,Switzerland,8
India,Uganda,7
Indonesia,United States,7
Ireland,United States,7
India,Sweden,7
Ghana,Nigeria,7
Thailand,United Kingdom,7
South Africa,Sweden,7
South Africa,Tanzania,7
Ghana,Malawi,7
Cameroon,France,7
Malawi,United States,7
Australia,Germany,7
Kenya,Nigeria,7
United Kingdom,Zambia,7
Ghana,"Korea, Republic of",7
Ghana,Norway,7
Ethiopia,Kenya,7
Senegal,United Kingdom,7
China,Pakistan,7
United States,Zimbabwe,7
Australia,South Africa,7
Ethiopia,India,7
China,India,7
Cambodia,Japan,7
China,Nepal,6
Norway,Sweden,6
Canada,Japan,6
India,Serbia,6
Germany,Italy,6
Nepal,Norway,6
Belgium,Netherlands,6
China,Germany,6
Nepal,Switzerland,6
Italy,United Kingdom,6
Democratic Republic of the Congo,United States,6
Sierra Leone,United States,6
France,West Bank and Gaza,6
Belgium,Canada,6
Belgium,South Africa,6
Bangladesh,Japan,6
Burkina Faso,Kenya,6
Jordan,West Bank and Gaza,6
Senegal,South Africa,6
Norway,Zambia,6
India,Philippines,6
Cameroon,Canada,6
Canada,China,6
Ghana,Sierra Leone,6
Germany,Zambia,6
Australia,Cambodia,6
Nigeria,Sweden,6
Nepal,Netherlands,6
Nigeria,The Gambia,5
Italy,Malawi,5
Afghanistan,United States,5
Netherlands,Uganda,5
Canada,Pakistan,5
Austria,United Kingdom,5
France,India,5
Ethiopia,Ireland,5
Cameroon,Germany,5
Cameroon,Nigeria,5
Kenya,Zambia,5
Nigeria,Switzerland,5
Japan,Serbia,5
Nigeria,Uganda,5
Mali,Senegal,5
Bangladesh,Malaysia,5
Laos,United States,5
India,Malaysia,5
Sweden,Tanzania,5
Canada,Niger,5
Ghana,India,5
Ghana,Japan,5
Burundi,United States,5
Pakistan,Uganda,5
France,United Kingdom,5
Canada,Switzerland,5
Nigeria,Viet Nam,5
Mexico,United States,5
Thailand,United States,5
Canada,Mali,5
India,Rwanda,5
Belgium,France,5
Switzerland,Zambia,5
United Kingdom,West Bank and Gaza,5
Canada,Uganda,5
Rwanda,South Africa,5
Belgium,Germany,5
Belgium,Democratic Republic of the Congo,5
Kenya,Pakistan,5
Ethiopia,"Iran, Islamic Republic of",4
Philippines,United States,4
Netherlands,Taiwan,4
France,Netherlands,4
China,Saudi Arabia,4
Kenya,Mali,4
Burkina Faso,Senegal,4
Malaysia,Nigeria,4
Australia,Japan,4
Burkina Faso,Mali,4
Jordan,United Kingdom,4
Bangladesh,Germany,4
Canada,Senegal,4
Serbia,South Africa,4
India,Russian Federation,4
Austria,Denmark,4
Japan,Russian Federation,4
Philippines,South Africa,4
Belgium,Ghana,4
Germany,Pakistan,4
Bangladesh,Canada,4
Tanzania,Zimbabwe,4
New Zealand,United Kingdom,4
Indonesia,United Kingdom,4
Republic of the Congo,Uganda,4
India,Thailand,4
Nigeria,Pakistan,4
"Korea, Republic of",Nepal,4
Canada,Kenya,4
Ghana,New Zealand,4
Nepal,Pakistan,4
China,Malaysia,4
India,Norway,4
Uganda,Zambia,4
Ireland,Japan,4
Cambodia,Nigeria,4
Egypt,United States,4
Nepal,Nigeria,4
China,South Africa,4
Benin,United States,4
Rwanda,United Kingdom,4
India,Italy,4
Italy,Switzerland,4
Germany,Tanzania,4
Belgium,Burundi,4
Burkina Faso,South Africa,4
Ghana,Tanzania,4
South Africa,Zimbabwe,4
Japan,Singapore,4
Nigeria,Zimbabwe,4
Benin,Nigeria,4
China,Ghana,4
Senegal,United States,4
Germany,Sweden,4
Australia,China,4
Qatar,Sudan,4
India,Tanzania,4
India,Taiwan,4
Australia,Indonesia,4
Canada,Nepal,4
Kenya,Rwanda,4
Japan,Viet Nam,4
Egypt,Morocco,4
Benin,Côte d'Ivoire,3
Bangladesh,Ireland,3
Ghana,Italy,3
Democratic Republic of the Congo,Rwanda,3
Cambodia,Sweden,3
Australia,Sierra Leone,3
Cambodia,South Africa,3
Ethiopia,Philippines,3
Belgium,Cameroon,3
Denmark,United States,3
Austria,Senegal,3
Rwanda,Sweden,3
Nepal,South Africa,3
Chile,United States,3
Serbia,Tanzania,3
Japan,Laos,3
Democratic Republic of the Congo,Germany,3
Norway,South Africa,3
Nigeria,Philippines,3
Chile,India,3
Democratic Republic of the Congo,Ethiopia,3
Democratic Republic of the Congo,United Kingdom,3
Chile,Serbia,3
Myanmar,United States,3
Democratic Republic of the Congo,Switzerland,3
Singapore,United Kingdom,3
China,Tanzania,3
Pakistan,Sweden,3
Nigeria,Saudi Arabia,3
Japan,Tanzania,3
Canada,Tanzania,3
Nepal,Taiwan,3
Belgium,Kenya,3
Japan,Nigeria,3
Philippines,Sweden,3
Ethiopia,Nepal,3
Spain,United Kingdom,3
Belgium,Philippines,3
Cambodia,Switzerland,3
Australia,Italy,3
Burkina Faso,Niger,3
Malawi,Zimbabwe,3
Republic of the Congo,United States,3
Burundi,Netherlands,3
Australia,Laos,3
United Kingdom,Viet Nam,3
Nigeria,Russian Federation,3
China,Hong Kong,3
Egypt,Saudi Arabia,3
Cambodia,Kenya,3
Mali,United States,3
Belgium,Tanzania,3
Canada,Norway,3
The Gambia,United States,3
Australia,Kenya,3
Indonesia,Kenya,3
India,Ireland,3
Australia,Malaysia,3
Ghana,Hong Kong,3
India,"Korea, Republic of",3
Cameroon,South Africa,3
China,Italy,3
Morocco,United Kingdom,3
India,Viet Nam,3
Russian Federation,Serbia,3
India,United Arab Emirates,3
Cambodia,Mali,3
Tanzania,Zambia,3
United States,Viet Nam,3
Bangladesh,Pakistan,3
Ghana,Spain,3
Japan,Pakistan,3
China,Serbia,3
Republic of the Congo,Zimbabwe,3
Cambodia,Laos,3
Cambodia,France,3
Italy,Nigeria,3
Hungary,United Kingdom,3
Russian Federation,United States,3
Sweden,Uganda,3
Nigeria,Republic of the Congo,3
Lebanon,United States,3
Nigeria,Serbia,3
Ireland,Switzerland,3
Denmark,Senegal,3
Australia,Thailand,3
Ghana,Malaysia,3
Afghanistan,Switzerland,3
Malawi,South Africa,3
Malawi,Netherlands,3
Austria,Switzerland,3
Germany,Mali,3
France,Philippines,3
India,Indonesia,3
Greece,Netherlands,3
Serbia,Sudan,3
Canada,Malawi,3
Bangladesh,Switzerland,3
Luxembourg,United Kingdom,3
Burkina Faso,Cameroon,3
Lebanon,Sweden,3
Burkina Faso,Nigeria,3
Malaysia,South Africa,3
Kenya,Malawi,3
France,Tunisia,3
Malaysia,United Kingdom,3
India,Saudi Arabia,3
Cyprus,Nigeria,3
Netherlands,Tanzania,3
Denmark,Tanzania,3
Malaysia,United States,3
Belgium,Senegal,3
Singapore,Thailand,2
Belgium,"Iran, Islamic Republic of",2
Czechia,Germany,2
Japan,Malaysia,2
Ghana,Sweden,2
Bangladesh,Nigeria,2
Japan,"Korea, Republic of",2
Bahrain,Benin,2
India,Singapore,2
Norway,Switzerland,2
China,Viet Nam,2
Germany,United Arab Emirates,2
Cameroon,Italy,2
Canada,Egypt,2
Mali,Philippines,2
Mali,South Africa,2
American Samoa,Cambodia,2
American Samoa,United Kingdom,2
Australia,United Arab Emirates,2
Saint Kitts and Nevis,United States,2
Saint Kitts and Nevis,Zimbabwe,2
Saint Kitts and Nevis,United Kingdom,2
Benin,Canada,2
Indonesia,Tanzania,2
Australia,Philippines,2
Sierra Leone,South Africa,2
Nigeria,Saint Kitts and Nevis,2
Mali,Sweden,2
Sudan,Thailand,2
Philippines,Thailand,2
Cambodia,Thailand,2
Cameroon,Netherlands,2
Ethiopia,Pakistan,2
Malawi,Pakistan,2
Burkina Faso,Uganda,2
Pakistan,Thailand,2
Cyprus,United States,2
Ireland,United Kingdom,2
Sierra Leone,Sweden,2
Greece,Mali,2
Greece,Kenya,2
Egypt,United Kingdom,2
Ethiopia,Italy,2
Japan,Switzerland,2
Cameroon,Tanzania,2
Sweden,Viet Nam,2
Bangladesh,Viet Nam,2
Eswatini,Nigeria,2
Nigeria,Thailand,2
Cambodia,Viet Nam,2
Switzerland,The Gambia,2
Finland,United States,2
Cambodia,Singapore,2
France,Ghana,2
Lebanon,West Bank and Gaza,2
Iraq,Nigeria,2
Jordan,Lebanon,2
Canada,Côte d'Ivoire,2
Türkiye,United Kingdom,2
Cyprus,United Kingdom,2
Cyprus,Russian Federation,2
Pakistan,South Africa,2
Laos,Netherlands,2
Switzerland,Tajikistan,2
Japan,Kenya,2
Singapore,United States,2
Mozambique,Singapore,2
Australia,Myanmar,2
Kenya,Norway,2
Cameroon,New Zealand,2
Canada,New Zealand,2
Burundi,Ghana,2
Australia,Burundi,2
China,United Kingdom,2
Malawi,Nigeria,2
Belgium,Morocco,2
Ghana,Uganda,2
Mali,Togo,2
Lebanon,United Kingdom,2
Malawi,Zambia,2
Germany,Hungary,2
Nicaragua,Nigeria,2
Cameroon,Ghana,2
Ireland,Norway,2
Sri Lanka,United States,2
Indonesia,Switzerland,2
Benin,Togo,2
"Korea, Republic of",Netherlands,2
Nepal,Serbia,2
India,Sri Lanka,2
Russian Federation,Tanzania,2
Chile,Japan,2
Canada,Serbia,2
Canada,Chile,2
Australia,Serbia,2
Italy,Poland,2
Slovenia,United States,2
Afghanistan,Democratic Republic of the Congo,2
Myanmar,Nepal,2
India,Myanmar,2
Australia,Hong Kong,2
Belgium,Sweden,2
Kenya,Mozambique,2
Ireland,Malaysia,2
Taiwan,United States,2
Morocco,Tunisia,2
Ethiopia,"Korea, Republic of",2
Cameroon,India,2
Kenya,Sudan,2
Poland,United Kingdom,2
Poland,United States,2
Malawi,Norway,2
Japan,Mozambique,2
South Sudan,Uganda,2
Bangladesh,China,2
Serbia,United States,2
Serbia,United Kingdom,2
Italy,Serbia,2
Philippines,Serbia,2
Netherlands,Philippines,2
Germany,Serbia,2
Ethiopia,Serbia,2
Ethiopia,France,2
Liberia,Switzerland,2
Liberia,Zambia,2
Chile,Germany,2
Benin,Tunisia,2
Germany,Norway,2
Ireland,Singapore,2
Ireland,Mozambique,2
China,Japan,2
Cambodia,Mozambique,2
Cambodia,Ireland,2
China,Norway,2
Malaysia,Pakistan,2
Benin,Mali,2
Benin,France,2
Benin,Burkina Faso,2
Czechia,United Kingdom,2
Czechia,Nigeria,2
Japan,Senegal,2
Austria,United States,2
India,Malta,2
Cambodia,Germany,2
Benin,South Africa,2
Luxembourg,Malawi,2
Germany,Senegal,2
Laos,Philippines,2
Indonesia,Philippines,2
Indonesia,Laos,2
Cambodia,Indonesia,2
Denmark,France,2
Ireland,Netherlands,2
Haiti,United States,2
Myanmar,Netherlands,2
Malaysia,Saudi Arabia,2
United Arab Emirates,United States,2
Spain,United States,2
Austria,Ireland,2
Italy,Uganda,2
Ghana,Indonesia,2
Norway,Serbia,2
Uganda,Zimbabwe,2
Slovakia,United States,2
Côte d'Ivoire,Uganda,2
Kenya,Kuwait,2
Lebanon,Morocco,2
Kuwait,United States,2
Italy,Pakistan,2
Botswana,Uganda,2
Canada,Lebanon,2
Belgium,Republic of the Congo,2
Democratic Republic of the Congo,India,2
Ethiopia,Nigeria,2
Netherlands,Viet Nam,2
Belgium,Ethiopia,2
Democratic Republic of the Congo,Uganda,2
Canada,Malaysia,2
Botswana,Nigeria,2
Canada,Rwanda,2
Greece,Nigeria,2
"Korea, Republic of",Nigeria,2
Canada,Sweden,2
Qatar,United States,2
Japan,Netherlands,2
Burundi,France,2
Canada,Zimbabwe,2
Botswana,Tanzania,2
Republic of the Congo,Tanzania,2
Nigeria,Rwanda,2
Nigeria,Ukraine,2
Laos,Switzerland,2
Nepal,Uganda,2
Australia,Burkina Faso,2
Cambodia,India,2
Nepal,Sweden,2
Pakistan,Tanzania,2
France,South Africa,2
Brazil,United Kingdom,2
Netherlands,Peru,2
Nepal,Philippines,2
Botswana,United Kingdom,2
Germany,Israel,2
India,Zimbabwe,2
Morocco,Sweden,2
Spain,Sweden,2
Denmark,India,2
Bangladesh,Ghana,2
Ethiopia,Myanmar,2
Pakistan,Philippines,2
Philippines,Uganda,2
"Korea, Republic of",Philippines,2
Kenya,Republic of the Congo,2
Ghana,Republic of the Congo,2
Rwanda,Uganda,2
Ghana,Slovakia,2
Morocco,Spain,2
France,Switzerland,2
Lesotho,South Africa,2
Afghanistan,India,2
China,Indonesia,2
Canada,Netherlands,2
Denmark,Nepal,2
Myanmar,Switzerland,2
Armenia,Nigeria,2
France,Niger,2
Belgium,Taiwan,2
Myanmar,Zambia,2
Russian Federation,United Kingdom,2
Cambodia,Netherlands,2
Nigeria,Zambia,2
Greece,Switzerland,2
Austria,Tanzania,2
Bangladesh,Netherlands,2
India,Mexico,2
Germany,Japan,2
Burkina Faso,Tanzania,2
The Gambia,United Kingdom,2
Kenya,Taiwan,2
"Korea, Republic of",United Kingdom,2
Australia,"Korea, Republic of",2
Japan,Philippines,2
Qatar,United Kingdom,2
Burkina Faso,Ghana,2
Australia,Viet Nam,2
Cambodia,Tanzania,2
Niger,Nigeria,2
Ghana,Tunisia,2
Netherlands,Tunisia,2
Ghana,Serbia,2
Netherlands,Serbia,2
Bolivia,United States,2
Namibia,United States,2
Belgium,Nigeria,2
South Africa,Thailand,2
Colombia,United States,2
Malawi,Tanzania,2
Mali,United Kingdom,2
Bahrain,Pakistan,2
Philippines,Switzerland,2
Australia,Denmark,2
Ireland,Malawi,2
Malaysia,Sudan,2
Malaysia,Tanzania,2
Colombia,India,2
Kyrgyzstan,United Kingdom,2
Liberia,United States,2
Nicaragua,United States,2
India,Türkiye,2
Malaysia,Qatar,2
Cameroon,Zambia,1
Cameroon,Malawi,1
Turkmenistan,United States,1
Eswatini,Ghana,1
Cameroon,Namibia,1
Eswatini,Kenya,1
Cameroon,Malaysia,1
Cameroon,Uganda,1
Mozambique,Peru,1
Eswatini,Malawi,1
Eswatini,Iraq,1
Cameroon,Pakistan,1
Iraq,United Arab Emirates,1
Cyprus,United Arab Emirates,1
Iraq,Tanzania,1
Iraq,Uganda,1
Cyprus,Iraq,1
Iraq,United Kingdom,1
Iraq,Zambia,1
Indonesia,Malaysia,1
Egypt,Jordan,1
American Samoa,Nigeria,1
Kenya,Malaysia,1
Ghana,Pakistan,1
American Samoa,India,1
Malawi,Malaysia,1
Malawi,Namibia,1
Malawi,Uganda,1
Greece,India,1
Philippines,Zambia,1
Laos,Zambia,1
Japan,Zambia,1
Malaysia,Namibia,1
Malaysia,Uganda,1
Malaysia,Zambia,1
Indonesia,Zambia,1
