country,full_count,target_income_group
India,952,Lower-middle income
United States,801,Other economy
Nigeria,665,Lower-middle income
United Kingdom,530,Other economy
Ghana,420,Lower-middle income
Ethiopia,308,Low income
Kenya,250,Lower-middle income
Germany,209,Other economy
Canada,185,Other economy
South Africa,181,Other economy
Tanzania,175,Lower-middle income
Australia,162,Other economy
Netherlands,161,Other economy
Nepal,138,Lower-middle income
Switzerland,130,Other economy
Uganda,115,Low income
Bangladesh,114,Lower-middle income
Belgium,110,Other economy
Pakistan,101,Lower-middle income
France,100,Other economy
China,97,Other economy
Burkina Faso,95,Low income
Norway,80,Other economy
Zambia,77,Lower-middle income
Sweden,73,Other economy
Cameroon,63,Lower-middle income
Japan,61,Other economy
Senegal,60,Lower-middle income
Egypt,58,Lower-middle income
Malawi,52,Low income
Cambodia,45,Lower-middle income
Rwanda,43,Low income
Thailand,41,Other economy
Italy,36,Other economy
Malaysia,33,Other economy
Zimbabwe,33,Lower-middle income
Benin,32,Lower-middle income
Morocco,30,Lower-middle income
Philippines,29,Other economy
"Korea, Republic of",29,Other economy
Mali,28,Low income
Democratic Republic of the Congo,26,Low income
Ireland,25,Other economy
Denmark,25,Other economy
Sierra Leone,23,Low income
Indonesia,23,Other economy
Sudan,22,Low income
Serbia,22,Other economy
Republic of the Congo,20,Lower-middle income
Mozambique,20,Low income
Burundi,18,Low income
West Bank and Gaza,17,Lower-middle income
Guyana,16,Other economy
Lebanon,16,Lower-middle income
Côte d'Ivoire,16,Lower-middle income
Saudi Arabia,15,Other economy
"Iran, Islamic Republic of",15,Other economy
Türkiye,14,Other economy
Tunisia,14,Lower-middle income
Viet Nam,13,Other economy
New Zealand,13,Other economy
Myanmar,13,Lower-middle income
Greece,12,Other economy
Russian Federation,12,Other economy
Afghanistan,12,Low income
Mexico,12,Other economy
Taiwan,11,Other economy
Laos,11,Lower-middle income
The Gambia,11,Low income
United Arab Emirates,11,Other economy
Uzbekistan,11,Lower-middle income
Israel,10,Other economy
Togo,10,Lower-middle income
Spain,10,Other economy
Austria,9,Other economy
Hong Kong,9,Other economy
Singapore,9,Other economy
Niger,9,Low income
Jordan,8,Other economy
Somalia,8,Low income
Liberia,8,Low income
Qatar,8,Other economy
Namibia,7,Lower-middle income
Portugal,7,Other economy
Bahrain,7,Other economy
Kyrgyzstan,6,Lower-middle income
Poland,6,Other economy
Czechia,5,Other economy
Kazakhstan,5,Other economy
Slovakia,5,Other economy
Colombia,5,Other economy
Hungary,5,Other economy
Chile,5,Other economy
Cyprus,5,Other economy
Luxembourg,4,Other economy
Peru,4,Other economy
South Sudan,4,Low income
Malta,4,Other economy
Iraq,4,Other economy
Tajikistan,4,Lower-middle income
Kuwait,4,Other economy
Madagascar,4,Low income
Slovenia,3,Other economy
Syria,3,Low income
Papua New Guinea,3,Lower-middle income
Nicaragua,3,Lower-middle income
Brazil,3,Other economy
Central African Republic,3,Low income
Finland,3,Other economy
Bhutan,3,Lower-middle income
Sri Lanka,3,Other economy
Botswana,3,Other economy
Turks and Caicos Islands,2,Other economy
Croatia,2,Other economy
Fiji,2,Other economy
Lesotho,2,Lower-middle income
Saint Kitts and Nevis,2,Other economy
Guam,2,Other economy
Iceland,2,Other economy
American Samoa,2,Other economy
Guinea,2,Lower-middle income
Bolivia,2,Lower-middle income
Ukraine,2,Other economy
Armenia,2,Other economy
Chad,2,Low income
Haiti,2,Lower-middle income
Eswatini,2,Lower-middle income
Antigua and Barbuda,2,Other economy
Puerto Rico,2,Other economy
Oman,2,Other economy
Guinea-Bissau,1,Low income
Angola,1,Lower-middle income
Mauritania,1,Lower-middle income
Panama,1,Other economy
Trinidad and Tobago,1,Other economy
Timor-Leste,1,Lower-middle income
Cuba,1,Other economy
Albania,1,Other economy
Bosnia and Herzegovina,1,Other economy
Palau,1,Other economy
French Guiana,1,Other economy
Venezuela,1,Lower-middle income
Gibraltar,1,Other economy
Dominican Republic,1,Other economy
Estonia,1,Other economy
Isle of Man,1,Other economy
Montenegro,1,Other economy
Honduras,1,Lower-middle income
Brunei Darussalam,1,Other economy
Ecuador,1,Other economy
Azerbaijan,1,Other economy
Turkmenistan,1,Other economy
Bulgaria,1,Other economy
Georgia,1,Other economy
Argentina,1,Other economy
Lithuania,1,Other economy
