work_id,year,period,theme
W745075344,1990,1990-2004,Insurance/prepayment
W2055634000,1990,1990-2004,Insurance/prepayment
W2018677459,1991,1990-2004,Insurance/prepayment
W2036970215,1991,1990-2004,Insurance/prepayment
W2127163030,1992,1990-2004,Insurance/prepayment
W2127163030,1992,1990-2004,Willingness to pay
W85500671,1992,1990-2004,User fees/cost sharing
W2124861520,1992,1990-2004,User fees/cost sharing
W2310219264,1993,1990-2004,User fees/cost sharing
W579088790,1993,1990-2004,Revenue/public financing
W2057020415,1993,1990-2004,User fees/cost sharing
W2013043963,1993,1990-2004,Insurance/prepayment
W2049283524,1993,1990-2004,User fees/cost sharing
W2561693282,1993,1990-2004,User fees/cost sharing
W1919277176,1994,1990-2004,Revenue/public financing
W2003617998,1994,1990-2004,Insurance/prepayment
W2003617998,1994,1990-2004,Willingness to pay
W1983534520,1994,1990-2004,Insurance/prepayment
W2404348724,1994,1990-2004,Insurance/prepayment
W1987867263,1995,1990-2004,User fees/cost sharing
W2007530817,1995,1990-2004,User fees/cost sharing
W2011499433,1995,1990-2004,Insurance/prepayment
W2101563564,1995,1990-2004,User fees/cost sharing
W2127946191,1995,1990-2004,User fees/cost sharing
W2144065373,1995,1990-2004,Insurance/prepayment
W2146368075,1995,1990-2004,Purchasing/provider payment
W256702556,1995,1990-2004,Insurance/prepayment
W169536357,1996,1990-2004,Insurance/prepayment
W2132888239,1996,1990-2004,User fees/cost sharing
W2278829053,1996,1990-2004,User fees/cost sharing
W43952473,1996,1990-2004,Insurance/prepayment
W2058503647,1996,1990-2004,Insurance/prepayment
W2075512291,1996,1990-2004,User fees/cost sharing
W2075512291,1996,1990-2004,Willingness to pay
W2020020689,1997,1990-2004,User fees/cost sharing
W2117890106,1997,1990-2004,Revenue/public financing
W2281659137,1997,1990-2004,Insurance/prepayment
W2279552229,1997,1990-2004,Insurance/prepayment
W1482736019,1997,1990-2004,Insurance/prepayment
W1980550721,1997,1990-2004,Insurance/prepayment
W2029876478,1997,1990-2004,Insurance/prepayment
W2106497068,1997,1990-2004,User fees/cost sharing
W4234375633,1997,1990-2004,User fees/cost sharing
W2064136304,1997,1990-2004,Insurance/prepayment
W2064136304,1997,1990-2004,Willingness to pay
W174245863,1998,1990-2004,Insurance/prepayment
W1983279913,1998,1990-2004,Insurance/prepayment
W1983279913,1998,1990-2004,Willingness to pay
W2122359107,1998,1990-2004,User fees/cost sharing
W2123958777,1998,1990-2004,Financial protection/OOP
W2339286191,1998,1990-2004,Revenue/public financing
W4384468893,1998,1990-2004,Insurance/prepayment
W2073582208,1998,1990-2004,User fees/cost sharing
W2025348785,1998,1990-2004,Insurance/prepayment
W4251409784,1998,1990-2004,Insurance/prepayment
W4400644094,1998,1990-2004,User fees/cost sharing
W4415340201,1998,1990-2004,Insurance/prepayment
W2074249363,1998,1990-2004,Insurance/prepayment
W2957454557,1998,1990-2004,Insurance/prepayment
W2957454557,1998,1990-2004,Financial protection/OOP
W4400747866,1998,1990-2004,User fees/cost sharing
W2004804433,1999,1990-2004,User fees/cost sharing
W2009520889,1999,1990-2004,Insurance/prepayment
W2030727212,1999,1990-2004,User fees/cost sharing
W2135376674,1999,1990-2004,Insurance/prepayment
W262973049,1999,1990-2004,User fees/cost sharing
W2100491888,1999,1990-2004,User fees/cost sharing
W4237648872,1999,1990-2004,User fees/cost sharing
W2029584168,1999,1990-2004,User fees/cost sharing
W2023541089,2000,1990-2004,Insurance/prepayment
W2186752675,2000,1990-2004,Insurance/prepayment
W4399243160,2000,1990-2004,Insurance/prepayment
W2123721762,2000,1990-2004,User fees/cost sharing
