period,theme,papers,share
1990-2004,Financial protection/OOP,29,0.1288888888888889
1990-2004,Insurance/prepayment,127,0.5644444444444444
1990-2004,Pooling,1,0.0044444444444444444
1990-2004,Purchasing/provider payment,1,0.0044444444444444444
1990-2004,Revenue/public financing,12,0.05333333333333334
1990-2004,User fees/cost sharing,62,0.27555555555555555
1990-2004,Willingness to pay,10,0.044444444444444446
2005-2010,External financing,3,0.007772020725388601
2005-2010,Financial protection/OOP,83,0.21502590673575128
2005-2010,Insurance/prepayment,236,0.6113989637305699
2005-2010,Performance-based financing,7,0.018134715025906734
2005-2010,Pooling,5,0.012953367875647668
2005-2010,Purchasing/provider payment,5,0.012953367875647668
2005-2010,Revenue/public financing,29,0.07512953367875648
2005-2010,User fees/cost sharing,89,0.23056994818652848
2005-2010,Willingness to pay,7,0.018134715025906734
2011-2015,External financing,9,0.009202453987730062
2011-2015,Financial protection/OOP,214,0.21881390593047034
2011-2015,Insurance/prepayment,627,0.6411042944785276
2011-2015,Performance-based financing,70,0.07157464212678936
2011-2015,Pooling,13,0.013292433537832311
2011-2015,Purchasing/provider payment,12,0.012269938650306749
2011-2015,Revenue/public financing,55,0.05623721881390593
2011-2015,User fees/cost sharing,116,0.11860940695296524
2011-2015,Willingness to pay,32,0.032719836400818
2016-2020,External financing,23,0.014925373134328358
2016-2020,Financial protection/OOP,431,0.27968851395197925
2016-2020,Insurance/prepayment,1014,0.6580142764438677
2016-2020,Performance-based financing,156,0.10123296560674887
2016-2020,Pooling,23,0.014925373134328358
2016-2020,Purchasing/provider payment,45,0.029201817001946788
2016-2020,Revenue/public financing,107,0.06943543153796236
2016-2020,User fees/cost sharing,116,0.07527579493835172
2016-2020,Willingness to pay,59,0.038286826735885786
2021-2026,External financing,26,0.00939306358381503
2021-2026,Financial protection/OOP,1004,0.3627167630057804
2021-2026,Insurance/prepayment,1979,0.7149566473988439
2021-2026,Performance-based financing,109,0.039378612716763
2021-2026,Pooling,36,0.01300578034682081
2021-2026,Purchasing/provider payment,92,0.033236994219653176
2021-2026,Revenue/public financing,232,0.0838150289017341
2021-2026,User fees/cost sharing,108,0.03901734104046243
2021-2026,Willingness to pay,97,0.03504335260115607
