work_id,year,period,first_country_known,first_target,corr_country_known,corr_target,international_collaboration,n_author_countries,studied_count
W2043466934,1990,1990-2004,True,True,True,True,True,3,1
W745075344,1990,1990-2004,False,,False,,False,0,1
W2055634000,1990,1990-2004,True,False,True,False,False,1,3
W200475226,1991,1990-2004,True,False,True,False,False,1,1
W2018677459,1991,1990-2004,True,False,True,False,True,4,1
W2151005948,1991,1990-2004,True,True,True,True,False,1,1
W2036970215,1991,1990-2004,False,,False,,False,0,1
W2127163030,1992,1990-2004,True,False,True,False,False,1,1
W2626540684,1992,1990-2004,False,,False,,False,0,1
W85500671,1992,1990-2004,False,,False,,False,0,4
W2124861520,1992,1990-2004,True,True,True,True,False,1,1
W2310219264,1993,1990-2004,False,,False,,False,0,1
W579088790,1993,1990-2004,False,,False,,False,0,2
W2057020415,1993,1990-2004,True,False,True,False,False,1,0
W2013043963,1993,1990-2004,True,True,False,,True,3,1
W2049283524,1993,1990-2004,True,False,False,,False,1,1
W2561693282,1993,1990-2004,False,,False,,False,0,1
W1919277176,1994,1990-2004,False,,False,,False,0,1
W2003617998,1994,1990-2004,True,False,True,False,False,1,1
W1983534520,1994,1990-2004,False,,False,,False,0,1
W2404348724,1994,1990-2004,False,,False,,False,0,1
W1987867263,1995,1990-2004,True,True,True,True,True,2,1
W2007530817,1995,1990-2004,True,True,True,True,False,1,1
W2011499433,1995,1990-2004,True,False,True,False,False,1,0
W2101563564,1995,1990-2004,True,False,True,False,False,1,1
W2127946191,1995,1990-2004,True,False,True,False,False,1,1
W2144065373,1995,1990-2004,True,True,True,True,False,1,1
W2146368075,1995,1990-2004,True,False,False,,True,3,0
W256702556,1995,1990-2004,False,,False,,False,0,1
W2612493416,1995,1990-2004,False,,False,,False,0,11
W169536357,1996,1990-2004,False,,False,,False,0,1
W2132888239,1996,1990-2004,True,False,True,False,True,2,1
W2278829053,1996,1990-2004,False,,False,,False,0,1
W43952473,1996,1990-2004,False,,False,,False,0,1
W2058503647,1996,1990-2004,False,,False,,False,0,0
W2075512291,1996,1990-2004,True,False,False,,True,2,3
W2020020689,1997,1990-2004,True,True,False,,False,1,1
W2117890106,1997,1990-2004,False,,False,,False,0,3
W2281659137,1997,1990-2004,False,,False,,False,0,1
W79318601,1997,1990-2004,False,,False,,False,0,1
W2279552229,1997,1990-2004,False,,False,,False,0,1
W1482736019,1997,1990-2004,True,False,True,False,False,1,0
W1980550721,1997,1990-2004,True,False,True,False,False,1,1
W2029876478,1997,1990-2004,True,False,True,False,False,1,1
W2106497068,1997,1990-2004,False,,False,,False,0,2
W4234375633,1997,1990-2004,False,,False,,False,0,2
W2064136304,1997,1990-2004,True,True,True,True,False,1,1
W174245863,1998,1990-2004,False,,False,,False,0,1
W1983279913,1998,1990-2004,True,True,True,True,False,1,1
W2122359107,1998,1990-2004,True,True,True,True,False,1,1
W2123958777,1998,1990-2004,True,False,True,False,True,2,1
W2188345573,1998,1990-2004,False,,False,,False,0,1
W2339286191,1998,1990-2004,False,,False,,False,0,1
W4384468893,1998,1990-2004,False,,False,,False,0,1
W579114231,1998,1990-2004,False,,False,,False,0,1
W2073582208,1998,1990-2004,True,True,True,True,False,1,1
W2025348785,1998,1990-2004,True,False,True,False,True,2,1
W4251409784,1998,1990-2004,False,,False,,False,0,1
W4400644094,1998,1990-2004,False,,False,,False,0,1
W4415340201,1998,1990-2004,False,,False,,False,0,1
W2074249363,1998,1990-2004,True,False,True,False,True,2,1
W2957454557,1998,1990-2004,False,,False,,False,0,1
W4400747866,1998,1990-2004,False,,False,,False,0,1
W2004804433,1999,1990-2004,True,True,False,,False,1,1
W2009520889,1999,1990-2004,True,False,True,False,False,1,2
W2030727212,1999,1990-2004,True,False,True,False,False,1,1
W2135376674,1999,1990-2004,True,True,True,True,False,1,1
W59484016,1999,1990-2004,True,False,False,,False,1,1
W262973049,1999,1990-2004,False,,False,,False,0,1
W2100491888,1999,1990-2004,True,False,True,False,True,3,1
W4237648872,1999,1990-2004,True,False,True,False,True,3,1
W2029584168,1999,1990-2004,True,True,True,True,False,1,1
W2023541089,2000,1990-2004,True,False,True,False,False,1,0
W2186752675,2000,1990-2004,False,,False,,False,0,1
W4302008934,2000,1990-2004,False,,False,,False,0,1
W4399243160,2000,1990-2004,False,,False,,False,0,1
W825452959,2000,1990-2004,False,,False,,False,0,1
W2123721762,2000,1990-2004,True,False,True,False,False,1,1
W2297684678,2000,1990-2004,False,,False,,False,0,1
W2003738442,2000,1990-2004,True,True,True,True,False,1,1
W7128372427,2000,1990-2004,True,True,True,True,False,1,1
W7128400596,2000,1990-2004,True,True,True,True,False,1,1
W1565410334,2000,1990-2004,True,False,False,,False,1,1
W2594517637,2000,1990-2004,False,,False,,False,0,1
W7128357378,2000,1990-2004,True,False,False,,False,1,1
W7128401698,2000,1990-2004,True,False,False,,False,1,1
W7130694389,2000,1990-2004,True,True,True,True,False,1,2
