reference_id,local_citations
W2125849337,360
W4285719527,336
W2119775317,256
W2170964814,215
W2115011764,176
W2126583499,169
W2116542195,141
W2016834351,138
W2041725211,138
W2772759979,135
W2140155984,133
W2124360428,131
W2516915067,130
W2196182430,123
W2132666096,122
W2109725907,112
W2137321576,107
W2046034301,106
W2149849126,106
W2006696925,104
W2108970446,104
W1997866269,103
W2161933266,103
W2153025271,100
W2044203638,97
W2096969338,95
W2601005047,93
W1981075066,92
W2132441191,91
W2795223612,89
W2114027117,89
W2117812349,88
W2102858050,87
W2585592226,86
W2004745343,83
W2061316418,82
W1841733224,82
W4252307431,81
W2125902622,80
W2156885153,80
W2031976398,80
W2112093136,80
W2128442162,80
W2152846959,78
W2549703245,78
W2004804433,78
W2149691825,77
W2110203502,76
W3123188741,74
W2150517994,74
W1582873904,73
W2147456678,72
W2153603229,72
W2142114494,72
W2020999186,71
W2116975872,71
W2019013274,71
W2801838590,70
W4230973621,70
W2168477744,69
W3122664795,69
W2130433929,68
W1503547972,68
W2012190861,67
W2002066181,67
W1965140379,67
W2040434437,66
W2087431177,65
W2144033209,64
W2087983276,64
W2150308400,63
W2068155640,63
W4235321056,62
W2131920470,62
W2020286782,62
W1897790496,62
W2044069846,61
W1993536348,61
W2116853898,61
W2061514863,60
W2010394307,59
W2077442773,58
W2162391545,57
W2528775703,57
W2013370437,57
W2105126186,57
W2093394727,56
W2150356900,56
W1977638740,56
W2311909706,56
W3159717852,56
W2147916938,56
W2064136304,56
W2587114702,55
W2785836014,55
W2792953063,55
W2766578172,55
W1964106388,55
W2898810823,54
W2139469027,54
W2790351289,54
W2031244839,54
W2170028330,54
W2137004111,54
W3122816102,53
W1911870978,53
W2499780129,53
W2149028203,53
W2155075119,53
W2044978626,53
W1984157398,53
W2125617054,53
W3124052700,52
W2113971173,52
W2126324264,52
W2780496980,52
W4230986462,51
W2618177743,51
W2106664903,51
W2806266374,51
W2031581599,51
W1897752460,51
W2028697065,51
W2060101414,51
W3123491062,51
W2271241286,50
W2121847147,49
W2102331226,49
W1506326958,49
W2774462176,49
W2970742027,48
W2965395863,48
W2059577267,48
W1504283862,48
W4248588451,47
W2770086481,47
W2142314685,47
W2887085973,47
W3030912641,47
W2146812228,47
W2029490365,46
W2082260411,46
W2344619033,46
W3122383292,45
W3124320152,45
W2150291618,45
W1995026540,45
W1603317322,45
W2054879394,45
W2164928682,45
W2070148353,45
W2782677493,44
W2162134907,44
W1973641567,44
W2969938425,44
W2348129053,44
W2945846458,43
W1964348349,43
W2142357698,43
W2164483809,43
W2149931223,43
W2521338787,43
W3034419513,43
W2897399395,42
W1902419318,42
W2015387837,42
W2165503607,42
W2087936447,42
W2165266032,42
W2123808450,42
W2050056913,42
W2157330284,41
W2116451202,41
W2049283524,41
W2037502951,41
W2783929654,41
W1904926384,41
W2122359107,40
W2115152795,40
W3083134612,40
W2076682914,40
W2894057266,40
W2897666396,40
W2090512589,40
W2088845385,39
W2787408143,39
W1590576387,39
W2921324259,39
W2106757621,39
W1979290264,39
W2138501837,39
W2804953991,39
W402260577,39
W2087684234,39
W3008076145,38
W2025102261,38
W2729295538,38
W2168360939,38
W3120605809,38
W2047782512,38
W2129427091,38
W2806849192,38
W2114504287,38
W4250727440,38
W2289016572,38
W1982468539,37
W2273157563,37
W3125204451,37
W2324486034,37
W2110817762,37
W2911560900,37
W2806623687,37
W2148208833,37
W2067525088,37
W2334700582,37
W2131407469,37
W3090393259,36
W3126129487,36
W2092244946,36
W2739638368,36
W2055636320,36
W2045435898,36
W2145477879,36
W1978157104,36
W2167536428,36
W2165425080,36
W1992346786,36
W2805568502,36
W2160101293,36
W3124605934,36
W2170808594,35
W2317070370,35
W2063956631,35
W2694860238,35
W2125603871,35
W2770587522,35
W2106203251,35
W2096241550,35
W1984965363,35
W2166389402,35
W2554628493,35
W2125828123,35
W2039548363,35
W3121965091,35
W2128018372,34
W2412247133,34
W2467796988,34
W2311913981,34
W2301983211,34
W2516489230,34
W2068166908,33
W2031161394,33
W2100051440,33
W3125737419,33
W2956049473,33
W1968160150,33
W2337043991,33
W181741938,33
W2594909438,33
W2085315204,33
W2974640105,33
W1576198496,33
W2914595624,33
W2421735860,33
W1527311855,32
W3112005050,32
W2900704794,32
W2077268598,32
W2270359051,32
W2040493309,32
W1142621754,32
W2149091805,32
W2108845899,31
W1968843910,31
W1502131512,31
W2026313718,31
W2129962732,31
W3134574480,31
W2159835830,31
W2011498261,31
W2158081837,31
W2036363369,31
W1681732057,31
W1982627246,31
W1981067358,31
W2107908051,31
W2312737313,31
W2911588592,30
W2277644172,30
W2033493610,30
W2891125414,30
W2059688596,30
W2625911727,30
W2169491439,30
W1848500936,30
W2789425923,30
W2998244172,30
W2120682748,30
W2042239404,30
W2161424829,30
W1983279913,30
W4288535721,30
W2007776877,30
W2159629117,30
W2002951868,30
W4229046404,30
W2889811468,30
W2791541873,30
W2029690118,30
W2114292927,30
W2074192817,30
W2771839199,30
W1968842406,30
W2054697726,29
W2311822834,29
W2111468630,29
W2041565281,29
W653085961,29
W2009520889,29
W2099489532,29
W2155478480,29
W2177624470,29
W2906807539,29
W2005297837,29
W3122586893,29
W1986001118,29
W2083071550,29
W1916612367,29
W1621375610,29
W1970212961,29
W2058806358,29
W2085879168,29
W2613475274,29
W2164178712,29
W2133256510,29
W252755788,29
W2971543944,29
W2411477586,28
W3006090931,28
W2462440246,28
W1975746435,28
W2046185542,28
W4200611194,28
W3035509303,28
W2885260301,28
W2147800157,28
W1484443838,28
W2099347986,28
W1974833527,28
W3107406390,28
W3125765331,27
W4223445436,27
W1976585805,27
W4240277689,27
W2608166063,27
W1861395942,27
W2490987350,27
W2137081808,27
W2151142628,27
W2888307323,27
W1971028749,27
W2076489890,27
W2094207006,27
W2113109834,27
W3125574319,27
W2050373482,27
W2737522270,26
W4317716365,26
W2132888239,26
W4225116423,26
W2222938756,26
W2571560806,26
W3123735941,26
W2724970501,26
W2054690527,26
W1917514719,26
W2099849803,26
W2337542741,26
W1979745374,26
W6674642050,26
W3124915523,26
W2000820335,26
W2966105833,26
W1976275564,26
W1968639916,26
W2138937488,26
W2102495197,26
W2137231988,25
W3013942104,25
W2125553998,25
W2107090933,25
W2129487004,25
W2018165022,25
W2179908343,25
W3151002452,25
W4229079298,25
W2104615087,25
W2162209131,25
W2808867063,25
W2614520124,25
W2407327651,25
