publication_year,cited_reference_occurrences,median5,deviation_from_5yr_median
1871,1,1.0,0.0
1875,2,1.0,1.0
1882,1,1.0,0.0
1895,1,1.0,0.0
1904,1,1.0,0.0
1905,2,1.0,1.0
1908,1,2.0,-1.0
1910,3,2.0,1.0
1911,2,2.0,0.0
1912,2,2.0,0.0
1914,4,2.0,2.0
1917,1,2.0,-1.0
1918,8,3.0,5.0
1919,1,2.0,-1.0
1920,3,2.0,1.0
1921,2,2.0,0.0
1922,2,2.0,0.0
1923,2,2.0,0.0
1924,1,2.0,-1.0
1925,1,1.0,0.0
1926,2,1.0,1.0
1928,1,1.0,0.0
1929,4,2.0,2.0
1930,1,3.0,-2.0
1931,7,3.0,4.0
1932,3,3.0,0.0
1933,3,3.0,0.0
1934,1,3.0,-2.0
1935,1,3.0,-2.0
1936,4,2.0,2.0
1937,4,2.0,2.0
1939,2,2.0,0.0
1941,2,2.0,0.0
1942,1,2.0,-1.0
1943,3,3.0,0.0
1944,6,3.0,3.0
1945,3,3.0,0.0
1946,9,6.0,3.0
1947,3,9.0,-6.0
1948,14,9.0,5.0
1949,31,12.0,19.0
1950,7,12.0,-5.0
1951,12,7.0,5.0
1952,6,7.0,-1.0
1953,7,8.0,-1.0
1954,8,8.0,0.0
1955,13,8.0,5.0
1956,17,13.0,4.0
1957,7,13.0,-6.0
1958,28,16.0,12.0
1959,4,8.0,-4.0
1960,16,16.0,0.0
1961,8,16.0,-8.0
1962,28,19.0,9.0
1963,20,20.0,0.0
1964,19,28.0,-9.0
1965,31,29.0,2.0
1966,35,31.0,4.0
1967,29,32.0,-3.0
1968,32,35.0,-3.0
1969,47,47.0,0.0
1970,104,61.0,43.0
1971,61,97.0,-36.0
1972,130,101.0,29.0
1973,97,97.0,0.0
1974,101,97.0,4.0
1975,55,97.0,-42.0
1976,66,101.0,-35.0
1977,119,112.0,7.0
1978,112,119.0,-7.0
1979,140,128.0,12.0
1980,128,128.0,0.0
1981,148,140.0,8.0
1982,119,148.0,-29.0
1983,205,186.0,19.0
1984,186,195.0,-9.0
1985,195,205.0,-10.0
1986,314,253.0,61.0
1987,253,314.0,-61.0
1988,322,322.0,0.0
1989,365,365.0,0.0
1990,393,393.0,0.0
1991,491,409.0,82.0
1992,409,491.0,-82.0
1993,592,592.0,0.0
1994,662,662.0,0.0
1995,877,742.0,135.0
1996,742,813.0,-71.0
1997,860,860.0,0.0
1998,813,860.0,-47.0
1999,1106,1106.0,0.0
2000,1391,1391.0,0.0
2001,1710,1710.0,0.0
2002,1878,1878.0,0.0
2003,2504,2504.0,0.0
2004,2692,2692.0,0.0
2005,2976,2740.0,236.0
2006,2740,2976.0,-236.0
2007,3427,3427.0,0.0
2008,3522,3522.0,0.0
2009,3787,3787.0,0.0
2010,3904,3904.0,0.0
2011,4398,4398.0,0.0
2012,5420,5024.0,396.0
2013,5024,5024.0,0.0
2014,5084,5024.0,60.0
2015,4954,5024.0,-70.0
2016,4998,5084.0,-86.0
2017,5696,4998.0,698.0
2018,5833,4998.0,835.0
2019,4735,4735.0,0.0
2020,4377,4377.0,0.0
2021,3915,3915.0,0.0
2022,3125,3125.0,0.0
2023,2221,2221.0,0.0
2024,1206,1206.0,0.0
2025,495,850.5,-355.5
2026,38,495.0,-457.0
