country,income_group,study_mentions,country_specific_papers,country_specific_first_country_known,local_first_author_n,local_first_author_share_country_specific
India,Lower-middle income,1314,1259,931,766,0.8227712137486574
Nigeria,Lower-middle income,994,900,657,541,0.8234398782343988
Ghana,Lower-middle income,675,585,454,317,0.698237885462555
Ethiopia,Low income,388,358,294,256,0.8707482993197279
Kenya,Lower-middle income,339,275,209,156,0.7464114832535885
Tanzania,Lower-middle income,266,222,170,128,0.7529411764705882
Nepal,Lower-middle income,192,171,138,105,0.7608695652173914
Uganda,Low income,166,134,106,67,0.6320754716981132
Burkina Faso,Low income,139,100,87,21,0.2413793103448276
Bangladesh,Lower-middle income,137,115,96,78,0.8125
Rwanda,Low income,136,86,64,21,0.328125
Zambia,Lower-middle income,119,92,60,38,0.6333333333333333
Pakistan,Lower-middle income,109,94,76,52,0.6842105263157895
Egypt,Lower-middle income,97,84,51,41,0.803921568627451
Cameroon,Lower-middle income,86,74,63,44,0.6984126984126984
Senegal,Lower-middle income,85,67,60,36,0.6
Cambodia,Lower-middle income,77,55,40,17,0.425
Malawi,Low income,70,53,44,14,0.3181818181818182
Zimbabwe,Lower-middle income,69,49,32,11,0.34375
Mali,Low income,51,29,26,16,0.6153846153846154
Morocco,Lower-middle income,49,34,29,24,0.8275862068965517
Benin,Lower-middle income,46,31,28,18,0.6428571428571429
Democratic Republic of the Congo,Low income,45,25,20,12,0.6
Burundi,Low income,43,24,21,9,0.42857142857142855
Sierra Leone,Low income,38,30,23,9,0.391304347826087
Myanmar,Lower-middle income,36,29,17,4,0.23529411764705882
Sudan,Low income,34,32,23,15,0.6521739130434783
Afghanistan,Low income,34,25,20,2,0.1
Niger,Low income,33,11,6,1,0.16666666666666666
Kyrgyzstan,Lower-middle income,32,25,6,4,0.6666666666666666
Mozambique,Low income,32,16,15,7,0.4666666666666667
Laos,Lower-middle income,32,22,16,5,0.3125
Uzbekistan,Lower-middle income,27,23,10,10,1.0
Tunisia,Lower-middle income,25,14,9,5,0.5555555555555556
Côte d'Ivoire,Lower-middle income,23,18,10,7,0.7
West Bank and Gaza,Lower-middle income,23,16,11,8,0.7272727272727273
Lebanon,Lower-middle income,22,16,11,8,0.7272727272727273
Namibia,Lower-middle income,21,13,8,2,0.25
Togo,Lower-middle income,18,13,10,9,0.9
The Gambia,Low income,14,8,6,1,0.16666666666666666
Tajikistan,Lower-middle income,14,11,7,1,0.14285714285714285
South Sudan,Low income,12,5,3,1,0.3333333333333333
Madagascar,Low income,12,7,5,3,0.6
Papua New Guinea,Lower-middle income,12,10,4,1,0.25
Syria,Low income,12,11,7,2,0.2857142857142857
Lesotho,Lower-middle income,11,7,4,1,0.25
Bhutan,Lower-middle income,11,3,2,1,0.5
Guinea,Lower-middle income,11,5,1,0,0.0
Haiti,Lower-middle income,11,7,5,1,0.2
Chad,Low income,10,5,3,0,0.0
Nicaragua,Lower-middle income,10,9,5,0,0.0
Liberia,Low income,10,6,5,4,0.8
Timor-Leste,Lower-middle income,9,5,1,0,0.0
Somalia,Low income,9,9,7,7,1.0
Yemen,Low income,9,5,1,0,0.0
Central African Republic,Low income,8,4,3,3,1.0
Venezuela,Lower-middle income,7,5,3,1,0.3333333333333333
Bolivia,Lower-middle income,7,4,2,0,0.0
Eritrea,Low income,7,4,2,0,0.0
Mauritania,Lower-middle income,6,5,2,0,0.0
Republic of the Congo,Lower-middle income,6,4,2,1,0.5
Angola,Lower-middle income,5,3,2,0,0.0
Guinea-Bissau,Low income,5,3,1,0,0.0
Honduras,Lower-middle income,5,5,4,1,0.25
Solomon Islands,Lower-middle income,5,1,0,0,
Vanuatu,Lower-middle income,4,2,1,0,0.0
Comoros,Lower-middle income,4,2,1,0,0.0
Kiribati,Lower-middle income,3,2,0,0,
North Korea,Low income,2,1,1,0,0.0
Eswatini,Lower-middle income,1,0,0,0,
Djibouti,Lower-middle income,1,1,0,0,
São Tomé and Príncipe,Lower-middle income,1,1,0,0,
