OpenAlex_ID,Duplicate_Of,DOI,Year,Title
W1844773870,W7133000532,,2005,Costs of illness and coping strategies in a coffee-growing rural district of Ethiopia.
W2036007892,W3123188741,10.1002/hec.1338,2008,Coping with health‐care costs: implications for the measurement of catastrophic expenditures and poverty
W3151340866,W1588628247,,2009,"Community Based Health Insurance Scheme in Anambra State, Nigeria: an analysis of policy development, implementation and equity effects."
W4307235804,W2111914286,,2011,"Factors Affecting Survival of Women Diagnosed with Breast Cancer in El-Minia Governorate, Egypt"
W2110720014,W3122078042,10.1186/1745-6215-12-224,2011,Reconciling research and implementation in micro health insurance experiments in India: study protocol for a randomized controlled trial
W3142773129,W1531138443,,2012,Community-Based Health Insurance： An Evolutionary Approach to Achieving Universal Coverage in Low-Income Countries
W3151825262,W1645164932,,2012,PUBLIC HEALTH EXPENDITURE AND HEALTH OUTCOME IN NIGERIA: THE IMPACT OF GOVERNANCE
W2306763761,W1600575885,,2014,"Balancing Demand, Quality and Efficiency in Nigerian Health Care Delivery System"
W2804891352,W1851881418,,2015,MDG5/MDG acceleration framework for the Kyrgyz Republic : progress update and policy recommendations
W3025854043,W845931578,,2015,Knowledge and Attitude Towards National Health Insurance Scheme in Nigerian Research Institutes
W2611443958,W2789839126,,2017,A case study on the application of human rights principles in health policy making and programming in Chereng'any sub county in Kenya
W7144452637,W2741172500,10.1001/jamainternmed.2017.3133,2017,Progress toward universal health coverage: A comparative analysis in 5 South Asian countries
W7145964778,W2796261715,10.1371/journal.pone.0194564,2018,Cost and economic burden of illness over 15 years in Nepal: A comparative analysis
W3139890683,W4229079298,10.1093/inthealth/ihab015,2022,Assessing the incidence of catastrophic health expenditure and impoverishment from out-of-pocket payments and their determinants in Bangladesh: evidence from the nationwide Household Income and Expenditure Survey 2016.
W7113602137,W7116635125,,2025,"Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990–2023 : a systematic analysis for the Global Burden of Disease Study 2023"
W7112668974,W7116635125,,2025,"Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990-2023:a systematic analysis for the Global Burden of Disease Study 2023"
W7112816029,W7116635125,,2025,"Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990–2023: a systematic analysis for the Global Burden of Disease Study 2023"
W7165430240,W7165256475,,2026,Pages de début
W7165434103,W7165256475,,2026,Pages de début
W7166610157,W7165256475,,2026,Pages de début
W7159905523,W7159741550,,2026,Level of Emergency Preparedness and Associated Barriers at the Accident and Emergency Ward of a LMIC Hospital: A Cross-Sectional Assessment Using the WHO HEAT Tool
W4416981023,W7165474718,10.1186/s12885-026-16365-9,2026,"Factors influencing delay to diagnosis and treatment among pediatric oncology patients at Tikur Anbessa Specialized Hospital, Addis Ababa, Ethiopia: a cross-sectional survey"
W7168424021,W4415362638,10.1371/journal.pgph.0005391,2026,"Exploring risk factors associated with catastrophic health expenditure on diarrhea management in Karachi, Pakistan, 2022-2024"
W7170361227,W4417315434,10.1002/hpm.70109,2026,"Inclusion of refugees into national health systems: Enablers, barriers and lessons from six country case studies"
W7208804346,W7211258009,,2026,Northern–Southern Inequalities in COVID-19 Vaccination Uptake Among Women of Reproductive Age in Nigeria: A Multivariate Decomposition Analysis
